UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
441672,Susquehanna County Career and Technology Center,Public,Certificates,Mid East,Rural,Trades & Applied,0.0,4156.0,0.9667,0.8605,0.8280110138694279,1
161484,Northern Maine Community College,Public,Associate's,New England,Town,Health,0.0,8416.0,0.3333,0.4189,0.8268337590971394,1
133021,Chipola College,Public,Associate's,Southeast,Town,Humanities,0.0,832.0,,0.2689,0.8255829786340382,1
488299,Mission Beauty Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.6222,0.7049,0.8236325359345849,1
483957,Lawrence & Company College of Cosmetology,Private for-profit,Certificates,Far West,Town,Trades & Applied,3.9,,0.8235,0.2836,0.8230273490134169,1
234377,Wytheville Community College,Public,Associate's,Southeast,Town,Humanities,0.0,4037.0,0.4527,0.3247,0.8217654059378954,1
449807,Southeast Texas Career Institute,Private for-profit,Certificates,Southwest,Town,Trades & Applied,0.0,,0.6301,0.6106,0.8207953050224542,1
194569,Davis College,Private nonprofit,Bachelor's,Mid East,Rural,Social Science & Public Service,0.0,14320.0,0.3889,0.3562,0.8198012696575869,1
180090,Crevier's Academy of Cosmetology Arts,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,0.0,,0.8222,0.211,0.8176304249889392,1
111799,CET-Salinas,Private nonprofit,Certificates,Far West,City,Health,0.0,6804.0,0.7333,0.3047,0.8172480765837862,1
108861,Berkeley School of Theology,Private nonprofit,Certificates,Far West,City,Social Science & Public Service,3.4000000000000004,,,0.0,0.8164557145845671,1
107743,University of Arkansas Community College Rich Mountain,Public,Certificates,Southeast,Town,Humanities,0.0,4914.0,0.6026,0.38,0.8152678789164914,1
131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.8151937824722663,1
485573,Universal Healthcare Careers College,Private for-profit,Certificates,Far West,City,Health,2.0,,0.8873,0.5485,0.8118515601946329,1
374343,KC's School of Hair Design,Private for-profit,Certificates,Southeast,Rural,Trades & Applied,3.0,,0.7368,0.7674,0.8114586602822379,1
483850,Alliance Computing Solutions,Private for-profit,Certificates,Mid East,City,Health,4.2,,0.9091,0.25,0.8092523169293535,1
214290,New Castle School of Trades,Private for-profit,Certificates,Mid East,Town,Trades & Applied,0.0,,0.7429,0.6205,0.8078798177796294,1
123484,College of the Siskiyous,Public,Associate's,Far West,Rural,Social Science & Public Service,0.0,7241.0,0.3,0.2786,0.7992377266076562,1
451097,Academy of Career Training,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.9333,0.1186,0.7977176774525254,1
367431,Butler Beauty Academy-New Castle Beauty Academy,Private for-profit,Certificates,Mid East,Town,Trades & Applied,0.0,,0.5,0.2889,0.7955043309080723,1
189477,American Beauty School,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.7143,0.5025,0.7935345906157039,1
440794,Pillar College,Private nonprofit,Associate's,Mid East,City,Humanities,0.0,5804.0,,0.5556,0.7916634815811635,1
145309,Gem City College,Private for-profit,Certificates,Great Lakes,Town,Trades & Applied,0.0,,0.8571,0.6531,0.7905163474935806,1
193751,Northeast College of Health Sciences,Private nonprofit,Graduate,Mid East,Rural,STEM,0.0,,,,0.7898691730021893,1
444936,Turning Point Beauty College,Private for-profit,Certificates,Southwest,Rural,Trades & Applied,0.0,,0.8689,0.6145,0.7895218778987918,1
165981,Greenfield Community College,Public,Associate's,New England,Town,Health,0.0,8081.0,0.217,0.296,0.7893322770128401,1
107619,Phillips Community College of the University of Arkansas,Public,Certificates,Southeast,Town,Humanities,0.0,5420.0,0.5161,0.359,0.7869311817060506,1
437723,New Community Career & Technical Institute,Private nonprofit,Certificates,Mid East,City,Health,0.0,5716.0,0.3131,0.7692,0.7860484195647071,1
250027,Laurel Business Institute,Private for-profit,Certificates,Mid East,Town,Trades & Applied,0.0,15304.0,0.7938,0.4884,0.7858314104110551,1
199722,Southeastern Community College,Public,Associate's,Southeast,Rural,Humanities,7.1,4474.0,0.5102,0.4535,0.7835920871536795,1
420431,Oconee Fall Line Technical College,Public,Certificates,Southeast,Rural,Trades & Applied,2.7,294.0,0.4167,0.5206,0.7825971498701593,1
213631,United Lutheran Seminary,Private nonprofit,Graduate,Mid East,Town,STEM,0.8,,,,0.7816148077886825,1
168555,Hillsdale Beauty College,Private for-profit,Certificates,Great Lakes,Town,Trades & Applied,0.0,,0.6923,0.6406,0.7815447684358743,1
401223,World Mission University,Private nonprofit,Bachelor's,Far West,City,Social Science & Public Service,0.0,16598.0,0.5,0.4688,0.7813218484113157,1
