threshold,precision,recall,f1
0.0,0.020216606498194945,1.0,0.039631988676574664
0.01,0.025547445255474453,1.0,0.0498220640569395
0.02,0.027237354085603113,1.0,0.05303030303030303
0.03,0.028484231943031537,1.0,0.05539070227497527
0.04,0.029692470837751856,1.0,0.057672502574665295
0.05,0.031042128603104215,1.0,0.060215053763440864
0.06,0.03236994219653179,1.0,0.06270996640537514
0.07,0.03369434416365824,1.0,0.06519208381839348
0.08,0.03504380475594493,1.0,0.06771463119709795
0.09,0.03650586701434159,1.0,0.07044025157232704
0.1,0.03804347826086957,1.0,0.07329842931937172
0.11,0.04,1.0,0.07692307692307693
0.12,0.042682926829268296,1.0,0.08187134502923976
0.13,0.04472843450479233,1.0,0.0856269113149847
0.14,0.04778156996587031,1.0,0.09120521172638436
0.15,0.05017921146953405,1.0,0.09556313993174062
0.16,0.05056179775280899,0.9642857142857143,0.09608540925266904
0.17,0.053169734151329244,0.9285714285714286,0.10058027079303675
0.18,0.05627705627705628,0.9285714285714286,0.10612244897959183
0.19,0.06004618937644342,0.9285714285714286,0.11279826464208242
0.2,0.06483790523690773,0.9285714285714286,0.12121212121212122
0.21,0.06666666666666667,0.8928571428571429,0.12406947890818859
0.22,0.0702247191011236,0.8928571428571429,0.13020833333333334
0.23,0.07352941176470588,0.8928571428571429,0.1358695652173913
0.24,0.07165109034267912,0.8214285714285714,0.1318051575931232
0.25,0.07718120805369127,0.8214285714285714,0.1411042944785276
0.26,0.08098591549295775,0.8214285714285714,0.14743589743589744
0.27,0.08148148148148149,0.7857142857142857,0.1476510067114094
0.28,0.08560311284046693,0.7857142857142857,0.1543859649122807
0.29,0.088,0.7857142857142857,0.15827338129496402
0.3,0.08547008547008547,0.7142857142857143,0.15267175572519084
0.31,0.07555555555555556,0.6071428571428571,0.13438735177865613
0.32,0.08133971291866028,0.6071428571428571,0.14345991561181434
0.33,0.07575757575757576,0.5357142857142857,0.13274336283185842
0.34,0.07936507936507936,0.5357142857142857,0.1382488479262673
0.35000000000000003,0.07222222222222222,0.4642857142857143,0.125
0.36,0.07514450867052024,0.4642857142857143,0.12935323383084577
0.37,0.07878787878787878,0.4642857142857143,0.13471502590673576
0.38,0.08024691358024691,0.4642857142857143,0.1368421052631579
0.39,0.08125,0.4642857142857143,0.13829787234042554
0.4,0.0784313725490196,0.42857142857142855,0.13259668508287292
0.41000000000000003,0.07534246575342465,0.39285714285714285,0.12643678160919541
0.42,0.07194244604316546,0.35714285714285715,0.11976047904191617
0.43,0.06818181818181818,0.32142857142857145,0.1125
0.44,0.072,0.32142857142857145,0.11764705882352941
0.45,0.05217391304347826,0.21428571428571427,0.08391608391608392
0.46,0.056074766355140186,0.21428571428571427,0.08888888888888889
0.47000000000000003,0.0625,0.21428571428571427,0.0967741935483871
0.48,0.06741573033707865,0.21428571428571427,0.10256410256410256
0.49,0.07317073170731707,0.21428571428571427,0.10909090909090909
0.5,0.0759493670886076,0.21428571428571427,0.11214953271028037
0.51,0.08,0.21428571428571427,0.11650485436893204
0.52,0.08695652173913043,0.21428571428571427,0.12371134020618557
0.53,0.0967741935483871,0.21428571428571427,0.13333333333333333
0.54,0.07407407407407407,0.14285714285714285,0.0975609756097561
0.55,0.0784313725490196,0.14285714285714285,0.10126582278481013
0.56,0.08163265306122448,0.14285714285714285,0.1038961038961039
0.5700000000000001,0.09090909090909091,0.14285714285714285,0.1111111111111111
0.58,0.10256410256410256,0.14285714285714285,0.11940298507462686
0.59,0.08571428571428572,0.10714285714285714,0.09523809523809523
0.6,0.09090909090909091,0.10714285714285714,0.09836065573770492
0.61,0.1,0.10714285714285714,0.10344827586206896
0.62,0.1111111111111111,0.10714285714285714,0.10909090909090909
0.63,0.125,0.10714285714285714,0.11538461538461539
0.64,0.10526315789473684,0.07142857142857142,0.0851063829787234
0.65,0.125,0.07142857142857142,0.09090909090909091
0.66,0.14285714285714285,0.07142857142857142,0.09523809523809523
0.67,0.14285714285714285,0.07142857142857142,0.09523809523809523
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
