precision,recall,threshold
0.020216606498194945,1.0,0.0033333333333333335
0.02023121387283237,1.0,0.005
0.020275162925416364,1.0,0.005087719298245613
0.020289855072463767,1.0,0.005238095238095238
0.020319303338171262,1.0,0.006666666666666667
0.020363636363636365,1.0,0.00675438596491228
0.020378457059679767,1.0,0.006904761904761904
0.02039329934450109,1.0,0.008064633260711692
0.02040816326530612,1.0,0.008333333333333333
0.020437956204379562,1.0,0.00857142857142857
0.020452885317750184,1.0,0.008888888888888889
0.02046783625730994,1.0,0.009166666666666667
0.020482809070958303,1.0,0.01
0.020558002936857563,1.0,0.010416666666666666
0.020573108008817047,1.0,0.01107142857142857
0.020588235294117647,1.0,0.01117816091954023
0.020603384841795438,1.0,0.011337719298245614
0.020618556701030927,1.0,0.011666666666666667
0.020664206642066422,1.0,0.011935185185185184
0.0206794682422452,1.0,0.012083333333333333
0.020694752402069475,1.0,0.01273809523809524
0.020710059171597635,1.0,0.013333333333333334
0.020786933927245732,1.0,0.013518518518518518
0.020802377414561663,1.0,0.013571428571428571
0.020817843866171002,1.0,0.014061624649859944
0.020833333333333332,1.0,0.014607843137254904
0.02084884586746091,1.0,0.015
0.02092675635276532,1.0,0.015238095238095238
0.020942408376963352,1.0,0.016138478379857688
0.020958083832335328,1.0,0.016198830409356723
0.020973782771535582,1.0,0.01638888888888889
0.020989505247376312,1.0,0.016666666666666666
0.021068472535741158,1.0,0.01675438596491228
0.02108433734939759,1.0,0.01717948717948718
0.02110022607385079,1.0,0.018194444444444447
0.021116138763197588,1.0,0.018214285714285714
0.021132075471698115,1.0,0.018333333333333333
0.021212121212121213,1.0,0.018421052631578946
0.02122820318423048,1.0,0.018571428571428572
0.021244309559939303,1.0,0.018809523809523807
0.02126044039483675,1.0,0.01951851851851852
0.02127659574468085,1.0,0.019823232323232323
0.02129277566539924,1.0,0.02
0.02142310635042081,1.0,0.020238095238095236
0.021439509954058193,1.0,0.02049019607843137
0.021455938697318006,1.0,0.021349206349206347
0.02147239263803681,1.0,0.021397966594045026
0.021488871834228703,1.0,0.021666666666666667
0.02157164869029276,1.0,0.02175438596491228
0.02158828064764842,1.0,0.02185185185185185
0.021604938271604937,1.0,0.021904761904761903
0.021621621621621623,1.0,0.0225
0.02165506573859242,1.0,0.023333333333333334
0.021756021756021756,1.0,0.02357142857142857
0.02177293934681182,1.0,0.023888888888888887
0.02178988326848249,1.0,0.024166666666666666
0.021806853582554516,1.0,0.024466804265565877
0.021823850350740453,1.0,0.025
0.0219435736677116,1.0,0.02520448179271709
0.02196078431372549,1.0,0.025490196078431372
0.02197802197802198,1.0,0.025873015873015874
0.02199528672427337,1.0,0.026
0.0220125786163522,1.0,0.02627450980392157
0.022029897718332022,1.0,0.026527777777777775
0.02204724409448819,1.0,0.02656845238095238
0.02206461780929866,1.0,0.026571428571428572
0.022082018927444796,1.0,0.02666666666666667
0.022134387351778657,1.0,0.026754385964912284
0.022151898734177215,1.0,0.02677777777777778
0.022169437846397466,1.0,0.026813428401663692
0.022187004754358162,1.0,0.027179487179487177
0.022204599524187154,1.0,0.02732142857142857
0.022222222222222223,1.0,0.0275
0.022239872915011914,1.0,0.027722593310828606
0.022257551669316374,1.0,0.027777777777777773
0.022275258552108195,1.0,0.027941176470588237
0.022292993630573247,1.0,0.028333333333333332
0.022435897435897436,1.0,0.02851851851851852
0.022453889334402566,1.0,0.02865686274509804
0.02247191011235955,1.0,0.028690476190476193
0.02248995983935743,1.0,0.02895593869731801
0.022508038585209004,1.0,0.029166666666666667
0.02252614641995173,1.0,0.029404761904761902
0.02254428341384863,1.0,0.03
0.022598870056497175,1.0,0.03052248677248677
0.022617124394184167,1.0,0.030833333333333334
0.02263540824575586,1.0,0.03166666666666667
0.022672064777327937,1.0,0.032
0.022690437601296597,1.0,0.032107843137254906
0.0227088402270884,1.0,0.032385620915032685
0.022727272727272728,1.0,0.033012820512820513
0.022745735174654752,1.0,0.03306162464985995
