threshold,precision,recall,f1
0.0,0.020216606498194945,1.0,0.039631988676574664
0.01,0.020482809070958303,1.0,0.04014336917562724
0.02,0.02129277566539924,1.0,0.04169769173492182
0.03,0.02254428341384863,1.0,0.04409448818897638
0.04,0.023178807947019868,1.0,0.045307443365695796
0.05,0.02391118701964133,1.0,0.04670558798999166
0.06,0.02464788732394366,1.0,0.048109965635738834
0.07,0.025247971145175834,1.0,0.04925241864555849
0.08,0.025925925925925925,1.0,0.05054151624548736
0.09,0.026515151515151516,1.0,0.05166051660516605
0.1,0.026897214217098942,1.0,0.052385406922357346
0.11,0.027210884353741496,1.0,0.052980132450331126
0.12,0.027586206896551724,1.0,0.053691275167785234
0.13,0.028197381671701913,1.0,0.05484818805093046
0.14,0.028629856850715747,1.0,0.055666003976143144
0.15,0.029288702928870293,1.0,0.056910569105691054
0.16,0.02975557917109458,1.0,0.05779153766769866
0.17,0.03076923076923077,1.0,0.05970149253731343
0.18,0.031496062992125984,1.0,0.061068702290076333
0.19,0.03229527104959631,1.0,0.06256983240223464
0.2,0.03329369797859691,1.0,0.06444188722669736
0.21,0.033816425120772944,1.0,0.06542056074766354
0.22,0.03444034440344403,1.0,0.06658739595719382
0.23,0.035398230088495575,1.0,0.06837606837606838
0.24,0.03664921465968586,1.0,0.0707070707070707
0.25,0.037383177570093455,1.0,0.07207207207207207
0.26,0.03804347826086957,1.0,0.07329842931937172
0.27,0.03905160390516039,1.0,0.07516778523489932
0.28,0.040229885057471264,1.0,0.07734806629834254
0.29,0.041604754829123326,1.0,0.07988587731811697
0.3,0.043209876543209874,1.0,0.08284023668639054
0.31,0.04451510333863275,1.0,0.0852359208523592
0.32,0.045454545454545456,1.0,0.08695652173913043
0.33,0.04697986577181208,1.0,0.08974358974358974
0.34,0.04844290657439446,1.0,0.0924092409240924
0.35000000000000003,0.05017921146953405,1.0,0.09556313993174062
0.36,0.05137614678899083,1.0,0.09773123909249563
0.37,0.05394990366088632,1.0,0.10237659963436929
0.38,0.055776892430278883,1.0,0.10566037735849057
0.39,0.055900621118012424,0.9642857142857143,0.10567514677103718
0.4,0.056962025316455694,0.9642857142857143,0.10756972111553785
0.41000000000000003,0.058823529411764705,0.9642857142857143,0.11088295687885011
0.42,0.06192660550458716,0.9642857142857143,0.11637931034482758
0.43,0.06443914081145585,0.9642857142857143,0.12080536912751678
0.44,0.06553398058252427,0.9642857142857143,0.12272727272727273
0.45,0.0654911838790932,0.9285714285714286,0.1223529411764706
0.46,0.06753246753246753,0.9285714285714286,0.12590799031476999
0.47000000000000003,0.06951871657754011,0.9285714285714286,0.12935323383084577
0.48,0.07303370786516854,0.9285714285714286,0.13541666666666666
0.49,0.07580174927113703,0.9285714285714286,0.14016172506738545
0.5,0.07784431137724551,0.9285714285714286,0.143646408839779
0.51,0.08099688473520249,0.9285714285714286,0.1489971346704871
