fpr,tpr,threshold
0.0,0.0,inf
0.0007369196757553427,0.0,0.7668950331352279
0.007369196757553427,0.0,0.6832345322180688
0.007369196757553427,0.07142857142857142,0.6785821512153595
0.012527634487840826,0.07142857142857142,0.6429627804322283
0.012527634487840826,0.10714285714285714,0.6392459385760503
0.025055268975681652,0.10714285714285714,0.5865721483957667
0.025055268975681652,0.14285714285714285,0.5855212962653262
0.03831982313927782,0.14285714285714285,0.5364651585292439
0.03831982313927782,0.17857142857142858,0.5357137102710107
0.0397936624907885,0.17857142857142858,0.5335805259659693
0.0397936624907885,0.21428571428571427,0.5319161162653727
0.04126750184229919,0.21428571428571427,0.5310583887435983
0.04274134119380987,0.21428571428571427,0.5294689777904193
0.08106116433308769,0.21428571428571427,0.4486293455558187
0.08106116433308769,0.25,0.4457164101685771
0.08400884303610906,0.25,0.44335753948257023
0.08400884303610906,0.2857142857142857,0.44324621397145536
0.0847457627118644,0.2857142857142857,0.44252141409015944
0.0847457627118644,0.32142857142857145,0.44148564872385015
0.09137803979366249,0.32142857142857145,0.4299247562242277
0.09137803979366249,0.35714285714285715,0.4289881083490009
0.09874723655121592,0.35714285714285715,0.41279871780523464
0.09874723655121592,0.39285714285714285,0.41259158900318627
0.10316875460574797,0.39285714285714285,0.4032982933869223
0.10316875460574797,0.42857142857142855,0.40093779683982617
0.10759027266028003,0.42857142857142855,0.3918641057704482
0.10759027266028003,0.4642857142857143,0.39184090977025
0.12380250552689757,0.4642857142857143,0.3496039977232162
0.12380250552689757,0.5,0.347720467270442
0.12675018422991893,0.5,0.34379997215952957
0.12675018422991893,0.5357142857142857,0.3417914830604208
0.13706705969049374,0.5357142857142857,0.32610195247852636
0.13706705969049374,0.5714285714285714,0.32472980998230233
0.13927781871775977,0.5714285714285714,0.321775351723979
0.14075165806927045,0.5714285714285714,0.32165729592020703
0.14075165806927045,0.6071428571428571,0.32129889257712435
0.14222549742078114,0.6071428571428571,0.3193159524836128
0.1451731761238025,0.6071428571428571,0.31774437851914716
0.1466470154753132,0.6071428571428571,0.31754751747335175
0.14812085482682388,0.6071428571428571,0.3166576854647128
0.15622697126013266,0.6071428571428571,0.3080339585667318
0.15622697126013266,0.6428571428571429,0.30632645831865024
0.156963890935888,0.6428571428571429,0.30411524345425583
0.156963890935888,0.7142857142857143,0.3038550826506929
0.159174649963154,0.7142857142857143,0.2980280199778953
0.159174649963154,0.75,0.2976424558599432
0.1606484893146647,0.75,0.29555292245744097
0.1606484893146647,0.7857142857142857,0.29458298759557455
0.184966838614591,0.7857142857142857,0.26636670492693426
0.184966838614591,0.8214285714285714,0.26587490386439083
0.18791451731761238,0.8214285714285714,0.26473398059075814
0.1901252763448784,0.8214285714285714,0.2647284472733517
0.21518054532056005,0.8214285714285714,0.2427869481981123
0.21739130434782608,0.8214285714285714,0.24239095857465862
0.2210759027266028,0.8214285714285714,0.23905554522098033
0.2210759027266028,0.8571428571428571,0.23894173373441685
0.22991893883566691,0.8571428571428571,0.23172909194698385
0.22991893883566691,0.8928571428571429,0.23154368750985402
0.2579218865143699,0.8928571428571429,0.21006321511330125
0.2579218865143699,0.9285714285714286,0.20996177124297366
0.2660280029476787,0.9285714285714286,0.2061452757147091
0.2697126013264554,0.9285714285714286,0.20437419246053426
0.344141488577745,0.9285714285714286,0.16930011450399302
0.3485630066322771,0.9285714285714286,0.1691570249795581
0.3691967575534267,0.9285714285714286,0.16270082113551876
0.3691967575534267,0.9642857142857143,0.16264372538404576
0.37361827560795874,0.9642857142857143,0.16049245895395084
0.37361827560795874,1.0,0.15996347606904757
0.4694178334561533,1.0,0.11690224962926184
0.470891672807664,1.0,0.11682349469388698
0.5114222549742078,1.0,0.10320587398013274
0.5128960943257185,1.0,0.1029735517461783
0.5689019896831246,1.0,0.0797167712239215
0.5703758290346352,1.0,0.07926361403862053
0.5718496683861459,1.0,0.07874206370839093
0.5733235077376566,1.0,0.07850721715123231
0.5873249815770081,1.0,0.07138746418458766
0.5895357406042742,1.0,0.07100828904153657
0.6241709653647752,1.0,0.057409988431532985
0.6256448047162859,1.0,0.057360713936169476
0.6359616801768607,1.0,0.054205264973632594
0.6374355195283714,1.0,0.05338171065507799
0.8806190125276345,1.0,0.002478465577625813
0.8820928518791452,1.0,0.0024766417751777813
0.9034635224760501,1.0,0.0011036627048915777
0.9049373618275608,1.0,0.0010962496586184266
0.9100957995578481,1.0,0.0010073602421557068
0.9115696389093588,1.0,0.0009893554972295131
0.9145173176123802,1.0,0.0009486635320579644
0.9152542372881356,1.0,0.0009384127769700109
0.9167280766396463,1.0,0.0009241874274508766
0.9240972733971997,1.0,0.0007204697875116436
0.9380987472365512,1.0,0.0006445943378301317
0.9388356669123066,1.0,0.0005547454525712412
0.9403095062638173,1.0,0.0005331948746877107
0.941783345615328,1.0,0.000459068367061446
0.9432571849668386,1.0,0.0004300860583859233
0.9476787030213707,1.0,0.0004109633556167462
0.952837140751658,1.0,0.0003040691942278327
0.9550478997789241,1.0,0.0002643552892608085
0.9565217391304348,1.0,0.00021773313651241618
0.9602063375092115,1.0,0.00015746112787189495
0.9616801768607222,1.0,0.00010689416138891353
1.0,1.0,0.0
