threshold,precision,recall,f1
0.0,0.020216606498194945,1.0,0.039631988676574664
0.01,0.03036876355748373,1.0,0.05894736842105263
0.02,0.03286384976525822,1.0,0.06363636363636363
0.03,0.0345252774352651,1.0,0.066746126340882
0.04,0.03636363636363636,1.0,0.07017543859649122
0.05,0.036935704514363885,0.9642857142857143,0.07114624505928854
0.06,0.03884892086330935,0.9642857142857143,0.07468879668049792
0.07,0.040059347181008904,0.9642857142857143,0.07692307692307693
0.08,0.040625,0.9285714285714286,0.07784431137724551
0.09,0.04180064308681672,0.9285714285714286,0.08
0.1,0.042662116040955635,0.8928571428571429,0.08143322475570032
0.11,0.04262877442273535,0.8571428571428571,0.08121827411167512
0.12,0.04081632653061224,0.7857142857142857,0.07760141093474426
0.13,0.040152963671128104,0.75,0.07622504537205081
0.14,0.042,0.75,0.07954545454545454
0.15,0.04365904365904366,0.75,0.0825147347740668
0.16,0.04487179487179487,0.75,0.0846774193548387
0.17,0.046052631578947366,0.75,0.08677685950413223
0.18,0.04597701149425287,0.7142857142857143,0.08639308855291576
0.19,0.046948356807511735,0.7142857142857143,0.0881057268722467
0.2,0.046341463414634146,0.6785714285714286,0.0867579908675799
0.21,0.04773869346733668,0.6785714285714286,0.0892018779342723
0.22,0.04846938775510204,0.6785714285714286,0.09047619047619047
0.23,0.04699738903394256,0.6428571428571429,0.08759124087591241
0.24,0.04878048780487805,0.6428571428571429,0.0906801007556675
0.25,0.04986149584487535,0.6428571428571429,0.09254498714652956
0.26,0.05128205128205128,0.6428571428571429,0.09498680738786279
0.27,0.04956268221574344,0.6071428571428571,0.09164420485175202
0.28,0.04833836858006042,0.5714285714285714,0.08913649025069638
0.29,0.04938271604938271,0.5714285714285714,0.09090909090909091
0.3,0.050473186119873815,0.5714285714285714,0.0927536231884058
0.31,0.0462046204620462,0.5,0.08459214501510574
0.32,0.04827586206896552,0.5,0.0880503144654088
0.33,0.05017921146953405,0.5,0.09120521172638436
0.34,0.051470588235294115,0.5,0.09333333333333334
0.35000000000000003,0.052830188679245285,0.5,0.09556313993174062
0.36,0.0546875,0.5,0.09859154929577464
0.37,0.05668016194331984,0.5,0.10181818181818182
0.38,0.05416666666666667,0.4642857142857143,0.09701492537313433
0.39,0.05042016806722689,0.42857142857142855,0.09022556390977443
0.4,0.05309734513274336,0.42857142857142855,0.09448818897637795
0.41000000000000003,0.05504587155963303,0.42857142857142855,0.0975609756097561
0.42,0.057692307692307696,0.42857142857142855,0.1016949152542373
0.43,0.061224489795918366,0.42857142857142855,0.10714285714285714
0.44,0.05699481865284974,0.39285714285714285,0.09954751131221719
0.45,0.05913978494623656,0.39285714285714285,0.102803738317757
0.46,0.06285714285714286,0.39285714285714285,0.10837438423645321
0.47000000000000003,0.06432748538011696,0.39285714285714285,0.11055276381909548
0.48,0.06875,0.39285714285714285,0.11702127659574468
0.49,0.07333333333333333,0.39285714285714285,0.12359550561797752
0.5,0.07692307692307693,0.39285714285714285,0.1286549707602339
0.51,0.08029197080291971,0.39285714285714285,0.13333333333333333
0.52,0.08461538461538462,0.39285714285714285,0.13924050632911392
0.53,0.0859375,0.39285714285714285,0.14102564102564102
0.54,0.08264462809917356,0.35714285714285715,0.1342281879194631
0.55,0.08547008547008547,0.35714285714285715,0.13793103448275862
0.56,0.09345794392523364,0.35714285714285715,0.14814814814814814
0.5700000000000001,0.09615384615384616,0.35714285714285715,0.15151515151515152
0.58,0.09,0.32142857142857145,0.140625
0.59,0.09574468085106383,0.32142857142857145,0.14754098360655737
0.6,0.10344827586206896,0.32142857142857145,0.1565217391304348
0.61,0.09876543209876543,0.2857142857142857,0.14678899082568808
0.62,0.10526315789473684,0.2857142857142857,0.15384615384615385
0.63,0.09859154929577464,0.25,0.1414141414141414
0.64,0.10144927536231885,0.25,0.14432989690721648
0.65,0.109375,0.25,0.15217391304347827
0.66,0.11864406779661017,0.25,0.16091954022988506
0.67,0.125,0.25,0.16666666666666666
0.68,0.11320754716981132,0.21428571428571427,0.14814814814814814
0.6900000000000001,0.11320754716981132,0.21428571428571427,0.14814814814814814
0.7000000000000001,0.12244897959183673,0.21428571428571427,0.15584415584415584
0.71,0.1111111111111111,0.17857142857142858,0.136986301369863
0.72,0.11627906976744186,0.17857142857142858,0.14084507042253522
0.73,0.12195121951219512,0.17857142857142858,0.14492753623188406
0.74,0.13513513513513514,0.17857142857142858,0.15384615384615385
0.75,0.14285714285714285,0.17857142857142858,0.15873015873015872
0.76,0.15151515151515152,0.17857142857142858,0.16393442622950818
0.77,0.13333333333333333,0.14285714285714285,0.13793103448275862
0.78,0.12,0.10714285714285714,0.11320754716981132
0.79,0.14285714285714285,0.10714285714285714,0.12244897959183673
0.8,0.15789473684210525,0.10714285714285714,0.1276595744680851
0.81,0.15789473684210525,0.10714285714285714,0.1276595744680851
0.8200000000000001,0.13333333333333333,0.07142857142857142,0.09302325581395349
0.8300000000000001,0.14285714285714285,0.07142857142857142,0.09523809523809523
0.84,0.08333333333333333,0.03571428571428571,0.05
0.85,0.09090909090909091,0.03571428571428571,0.05128205128205128
0.86,0.09090909090909091,0.03571428571428571,0.05128205128205128
0.87,0.125,0.03571428571428571,0.05555555555555555
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
