UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
24297214,NUC University - IBC Technical Division - Guayama,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.3055791880618921,1
24297213,NUC University - IBC Technical Division - Mayaguez,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.3055791880618921,1
24297212,NUC University - IBC Technical Division - Ponce,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.3055791880618921,1
24297216,NUC University - IBC Technical Division - Manati,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.3055791880618921,1
11752001,Life Chiropractic College West - Bellevue University,Private nonprofit,Not classified,Plains,Other/Unknown,STEM,0.0,,,,0.3054339238792709,1
219240,Kairos University,Private nonprofit,Bachelor's,Plains,City,Social Science & Public Service,0.0,,,0.0,0.3052465774636088,1
210711,The  Beauty Institute,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,0.0,,0.5816,0.8108,0.3045343168959203,1
48839601,Phipps Academy of Barbering - Bradley,Private for-profit,Not classified,Great Lakes,Other/Unknown,STEM,0.0,,,,0.30438795715783995,1
44376602,Strayer University-Shelby Oaks Campus,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,0.0,,,,0.30390374136907716,1
166717,William James College,Private nonprofit,Bachelor's,New England,City,Social Science & Public Service,0.0,,,0.35,0.3034738297976725,1
216579,Venus Beauty Academy,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,0.7000000000000001,,0.8353,0.4361,0.3029406530898829,1
489830,Arthur's Beauty College,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.5397,0.7222,0.3026941093860245,1
446251,Estelle Medical Academy,Private for-profit,Certificates,Great Lakes,City,Health,0.0,12300.0,0.9828,0.3762,0.3023708898444865,1
47503316,Relay Graduate School of Education - Indiana,Private nonprofit,Not classified,Great Lakes,Other/Unknown,STEM,0.0,,,,0.30157050719975137,1
484084,Debutantes School of Cosmetology and Nail Technology,Private for-profit,Certificates,Great Lakes,Suburb,Trades & Applied,0.0,,0.4667,0.25,0.3013377600418215,1
446598,Universal College of Healing Arts,Private for-profit,Certificates,Plains,City,Health,0.0,24310.0,1.0,0.5417,0.30068200979274107,1
490285,California Institute of Arts & Technology,Private for-profit,Certificates,Far West,City,STEM,0.0,40465.0,,0.3127,0.30015047080641816,1
486248,ZMS The Academy,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.6535,0.1073,0.29990312088820786,1
37369601,Rob Roy Academy - Woonsocket,Private for-profit,Not classified,New England,Other/Unknown,STEM,0.0,,,,0.2997658557804364,1
19385801,NYSMedical&Dental Assistants - American Institute of Clinical Massage,Private for-profit,Not classified,Rocky Mountains,Other/Unknown,STEM,0.0,,,,0.29968223549616013,1
483045,Central Georgia Technical College,Public,Certificates,Southeast,City,Trades & Applied,0.0,4750.0,0.4093,0.3037,0.29955243974673706,1
486442,Sandra Academy of Salon Services,Private for-profit,Certificates,Southeast,Town,Trades & Applied,0.0,,0.5556,0.8916,0.29937371009193126,1
444778,Charlotte Christian College and Theological Seminary,Private nonprofit,Bachelor's,Southeast,City,Social Science & Public Service,0.0,,0.0,0.5556,0.29912675758228696,1
486619,Academy of Professional Cosmetology,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.4,0.1438,0.2986430364237689,1
459532,Salon & Spa Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,1.0,0.7862,0.29862188931263683,1
47503309,Relay Graduate School of Education - Denver,Private nonprofit,Not classified,Rocky Mountains,Other/Unknown,STEM,0.0,,,,0.2986029463034799,1
189990,Christine Valmy International School for Esthetics Skin Care & Makeup,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.0,0.3353,0.29825890933185173,1
457855,Paul Mitchell the School-NYC,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.8,,0.8333,0.3786,0.29799921215060127,1
461953,Colorado Academy of Veterinary Technology,Private for-profit,Associate's,Rocky Mountains,City,STEM,0.0,25948.0,0.6471,0.475,0.29757725269516483,1
122649,San Joaquin College of Law,Private nonprofit,Graduate,Far West,Suburb,STEM,0.0,,,,0.2974964992128338,1
123943,Marshall B Ketchum University,Private nonprofit,Graduate,Far West,Suburb,STEM,0.0,,,,0.2974964992128338,1
439668,HDS Truck Driving Institute,Private for-profit,Certificates,Southwest,Rural,STEM,1.4000000000000001,,0.8273,0.0321,0.29734062395946936,1
147819,Oehrlein School of Cosmetology,Private for-profit,Certificates,Great Lakes,Suburb,Trades & Applied,0.0,,0.85,0.5538,0.2971779566305403,1
442888,InterCoast Colleges-Riverside,Private for-profit,Certificates,Far West,Suburb,Trades & Applied,0.0,,0.7005,0.5922,0.29715389285815885,1
494755,West Virginia Junior College-United Career Institute,Private for-profit,Associate's,Mid East,Suburb,Health,0.0,23121.0,0.8571,0.75,0.29646335737834517,1
481863,Ross Medical Education Center-Kokomo,Private for-profit,Certificates,Great Lakes,City,Health,0.0,,0.5179,0.8381,0.2962850971890756,1
460914,Penrose Academy,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.8734,0.2688,0.29604436228767955,1
44652502,SAE Institute of Technology-Atlanta,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,0.0,,,,0.2956183004435981,1
491826,Avenue Academy A Cosmetology Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.8511,0.5632,0.29556381945280896,1
457776,Paul Mitchell the School-Albuquerque,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.8286,0.4432,0.29539403560370553,1
46182901,Cinta Aveda Institute - San Jose,Private for-profit,Not classified,Far West,Other/Unknown,STEM,0.0,,,,0.29515545773755714,1
209296,National University of Natural Medicine,Private nonprofit,Bachelor's,Far West,City,Health,0.0,,,0.75,0.2951212544131727,1
23368411,Strayer University-Virginia Beach Campus,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,0.0,,,,0.2949982317088482,1
23368401,Strayer University-Alexandria Campus,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,0.0,,,,0.2949982317088482,1
23368410,Strayer University-Newport News Campus,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,0.0,,,,0.2949982317088482,1
480532,Ross Medical Education Center-Ontario,Private for-profit,Certificates,Great Lakes,Suburb,Health,0.2,,0.5833,0.9016,0.2948878091329615,1
455220,Career School of NY,Private nonprofit,Certificates,Mid East,City,Trades & Applied,0.0,8069.0,0.7206,0.3604,0.29482153540156664,1
188137,Santa Fe Community College,Public,Certificates,Southwest,Rural,Health,0.0,9215.0,0.2471,0.1448,0.2943587925682476,1
210438,University of Western States,Private nonprofit,Bachelor's,Far West,City,STEM,0.0,,,0.0,0.2932561622037687,1
245999,Francis Tuttle Technology Center,Public,Certificates,Southwest,City,Trades & Applied,0.0,4999.0,0.6276,0.087,0.2931362304958671,1
200013,Rasmussen University-North Dakota,Private for-profit,Associate's,Plains,City,Health,0.0,24675.0,,0.4614,0.29309647820180407,1
44946301,Academy Di Capelli -,Private for-profit,Not classified,New England,Other/Unknown,STEM,0.0,,,,0.29278206277607527,1
434496,Strand College of Hair Design,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.8,0.5313,0.29272170703960054,1
261676,Ross Medical Education Center-Brighton,Private for-profit,Certificates,Great Lakes,Suburb,Health,0.2,,0.6552,0.7222,0.29251430957625346,1
475547,Paul Mitchell the School-Fort Myers,Private for-profit,Certificates,Southeast,Rural,Trades & Applied,0.0,,0.7917,0.3636,0.29174855750314355,1
415057,Industrial Management Training Institute,Private for-profit,Certificates,New England,City,Trades & Applied,0.0,,0.759,0.1339,0.2915240948539028,1
488411,Hoss Lee Academy,Private for-profit,Certificates,Far West,Suburb,Trades & Applied,0.0,,0.8099,0.314,0.29151738013915124,1
456515,Ross Medical Education Center-Battle Creek,Private for-profit,Certificates,Great Lakes,City,Health,0.0,,0.64,0.8462,0.2908910767553286,1
24297205,NUC University - Mayaguez,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.2907454518904583,1
24297201,NUC University - Arecibo,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.2907454518904583,1
24297203,NUC University - Ponce,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.2907454518904583,1
24297204,NUC University - Caguas,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.2907454518904583,1
24297202,NUC University - Rio Grande,Private for-profit,Not classified,Outlying Areas,Other/Unknown,STEM,0.0,,,,0.2907454518904583,1
485500,ABCO Technology,Private for-profit,Certificates,Far West,Suburb,STEM,0.0,,1.0,0.1265,0.2902778683845501,1
