fpr,tpr,threshold
0.0,0.0,inf
0.0007369196757553427,0.0,0.9739780727795657
0.005158437730287398,0.0,0.8824670896904966
0.005158437730287398,0.03571428571428571,0.8731824901231304
0.008843036109064112,0.03571428571428571,0.8381874979977467
0.008843036109064112,0.07142857142857142,0.8305672965274189
0.009579955784819455,0.07142857142857142,0.8264206184381376
0.009579955784819455,0.10714285714285714,0.8182130016294701
0.018422991893883568,0.10714285714285714,0.7771635905255927
0.018422991893883568,0.14285714285714285,0.7759602515989306
0.01915991156963891,0.14285714285714285,0.7711762467269545
0.01915991156963891,0.17857142857142858,0.7685224151650693
0.030950626381724394,0.17857142857142858,0.7035190999367491
0.030950626381724394,0.21428571428571427,0.7006500881175964
0.03610906411201179,0.21428571428571427,0.6793526868080962
0.03610906411201179,0.25,0.6705556368795214
0.050110537951363304,0.25,0.6227418973459614
0.050110537951363304,0.2857142857142857,0.6204499030356693
0.05747973470891673,0.2857142857142857,0.6063301273796264
0.05747973470891673,0.32142857142857145,0.6035253084712733
0.06779661016949153,0.32142857142857145,0.5786879628614454
0.06779661016949153,0.35714285714285715,0.5770501021282782
0.08179808400884303,0.35714285714285715,0.5424006882725447
0.08179808400884303,0.39285714285714285,0.538696716393078
0.13411938098747236,0.39285714285714285,0.4411441972355157
0.13411938098747236,0.42857142857142855,0.43774176051242114
0.16654384672070743,0.42857142857142855,0.3907892159421638
0.16654384672070743,0.4642857142857143,0.38273321646224145
0.1694915254237288,0.4642857142857143,0.37503254995065827
0.1694915254237288,0.5,0.3734828815222267
0.21665438467207074,0.5,0.30713108400271166
0.21665438467207074,0.5357142857142857,0.30662447486279204
0.22033898305084745,0.5357142857142857,0.3027120235299031
0.22033898305084745,0.5714285714285714,0.3025316465716732
0.23581429624170966,0.5714285714285714,0.2762136572674956
0.23581429624170966,0.6071428571428571,0.27533935273087073
0.24465733235077378,0.6071428571428571,0.2637034236294957
0.24465733235077378,0.6428571428571429,0.26134900757888047
0.2697126013264554,0.6428571428571429,0.22866576241036066
0.2697126013264554,0.6785714285714286,0.22836333014991897
0.2918201915991157,0.6785714285714286,0.1955094396040094
0.2918201915991157,0.7142857142857143,0.19505396563975877
0.3102431834929993,0.7142857142857143,0.17751907560417657
0.3102431834929993,0.75,0.1765412173574337
0.3271923360353721,0.75,0.16320342786742043
0.3286661753868828,0.75,0.1629681101631855
0.3338246131171702,0.75,0.1575042598159898
0.3352984524686809,0.75,0.156433736343805
0.3559322033898305,0.75,0.13873190698558502
0.3574060427413412,0.75,0.13783491700650907
0.36845983787767134,0.75,0.131940616441038
0.369933677229182,0.75,0.13023995192530974
0.3795136330140015,0.75,0.12333945815820914
0.3795136330140015,0.7857142857142857,0.12305257097255849
0.39277818717759766,0.7857142857142857,0.1127445845285064
0.39277818717759766,0.8214285714285714,0.11260499507602884
0.393515106853353,0.8214285714285714,0.1122721818328176
0.393515106853353,0.8571428571428571,0.11206685321019197
0.3986735445836404,0.8571428571428571,0.10899037180077019
0.3986735445836404,0.8928571428571429,0.1082604475040607
0.4185703758290346,0.8928571428571429,0.09742264838842338
0.4185703758290346,0.9285714285714286,0.09701241622947052
0.44141488577745025,0.9285714285714286,0.08851537435851894
0.44288872512896094,0.9285714285714286,0.08721796613808448
0.4539425202652911,0.9285714285714286,0.07948685954402793
0.4539425202652911,0.9642857142857143,0.07910272330904404
0.45689019896831246,0.9642857142857143,0.07703770656507127
0.4613117170228445,0.9642857142857143,0.07676673545459019
0.49963154016212236,0.9642857142857143,0.05775456898714228
0.5025792188651437,0.9642857142857143,0.05730011964887164
0.5077376565954311,0.9642857142857143,0.05353615408397237
0.5099484156226971,0.9642857142857143,0.05338640516108397
0.5350036845983788,0.9642857142857143,0.043806310088531086
0.5350036845983788,1.0,0.04378865056483417
0.5372144436256449,1.0,0.04323750363549886
0.5408990420044215,1.0,0.042281596711929215
0.559322033898305,1.0,0.03509280240529127
0.5615327929255711,1.0,0.034764362501479136
0.5924834193072955,1.0,0.023811786304373524
0.5939572586588062,1.0,0.02374735914600525
0.6698599852616065,1.0,0.00875770746478277
0.6713338246131172,1.0,0.008726716680410982
1.0,1.0,2.131827481918667e-41
