UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
147642,Cosmetology Concepts Niles,Private for-profit,Certificates,Great Lakes,Suburb,Trades & Applied,0.0,,0.5714,0.4941,0.7563652742614618,1
377193,UCAS University of Cosmetology Arts & Sciences,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.0,1.0,0.7554996510577632,1
461333,Mauna Loa Helicopters,Private for-profit,Certificates,Far West,Town,STEM,0.0,,,0.0,0.7550492416534083,1
430564,Studio Jewelers,Private for-profit,Certificates,Mid East,City,Humanities,0.0,,0.8696,0.0168,0.7550293090170542,1
458821,Empire Beauty School-Jackson,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.3714,0.7315,0.7544803632025112,1
491686,International Barber College,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.64,0.5238,0.7542265965788024,1
491507,California Institute of Medical Science,Private for-profit,Certificates,Far West,Suburb,Health,0.0,,,0.525,0.754095991247202,1
457615,Blackstone Valley Vocational Regional School District,Public,Certificates,New England,Suburb,Health,0.0,,,0.3043,0.7523172128905747,1
165608,Diman Regional Technical Institute,Public,Certificates,New England,Suburb,Health,0.0,20861.0,0.7143,0.5909,0.7522751562163327,1
199494,Rowan-Cabarrus Community College,Public,Associate's,Southeast,Suburb,Humanities,0.0,4842.0,0.3004,0.2806,0.7520005864019021,1
491738,IBS School of Cosmetology and Massage,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.84,0.1402,0.7510918747449544,1
490294,Elite Cosmetology Barber & Spa Academy,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.3023,0.6732,0.7507204889502929,1
443058,Family of Faith Christian University,Private nonprofit,Bachelor's,Southwest,Rural,Social Science & Public Service,0.0,,0.25,0.4118,0.7506150016015212,1
483744,Vibe Barber College,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.75,0.6452,0.7504815299359489,1
491534,Pets Playground Grooming School,Private for-profit,Certificates,Southeast,City,STEM,0.0,,,0.381,0.7504382012358006,1
475653,Reflections Academy of Beauty,Private for-profit,Certificates,Great Lakes,City,Trades & Applied,1.4000000000000001,,0.5217,0.7021,0.7499677594286374,1
219842,Pentecostal Theological Seminary,Private nonprofit,Certificates,Southeast,City,Social Science & Public Service,0.0,,,0.0,0.7499062682395274,1
199467,Roanoke-Chowan Community College,Public,Associate's,Southeast,Rural,Humanities,0.0,8076.0,0.2143,0.3392,0.749335618005773,1
165495,Conway School of Landscape Design,Private nonprofit,Graduate,New England,City,STEM,0.0,,,,0.748568637867208,1
484075,First Coast Barber Academy,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.6567,1.0,0.7485293118089351,1
451307,The Salon Professional Academy-Battle Creek,Private for-profit,Certificates,Great Lakes,City,Trades & Applied,0.0,,0.75,0.5616,0.7481912903273198,1
441593,Orleans Niagara BOCES-Practical Nursing Program,Public,Certificates,Mid East,Town,Health,1.0999999999999999,,0.6667,0.5833,0.7481785143155645,1
449445,Valley College of Medical Careers,Private for-profit,Certificates,Far West,City,Health,0.0,,0.7857,0.7736,0.7480118694932999,1
427335,Lia Schorr Institute of Cosmetic Skin Care Training,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.093,0.4444,0.7477943877434072,1
418588,Northern Tier Career Center,Public,Certificates,Mid East,Rural,Health,0.0,16860.0,0.5455,0.3036,0.7473898256105475,1
194073,New York College of Podiatric Medicine,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.7472047141014226,1
486859,Entourage Institute of Beauty and Esthetics,Private for-profit,Certificates,Plains,City,Trades & Applied,0.0,,0.6667,0.5111,0.7471273103916604,1
140146,Interdenominational Theological Center,Private nonprofit,Graduate,Southeast,City,STEM,0.0,,,,0.7471225787996272,1
437723,New Community Career & Technical Institute,Private nonprofit,Certificates,Mid East,City,Health,0.0,5716.0,0.3131,0.7692,0.7470539021164022,1
233842,Union Presbyterian Seminary,Private nonprofit,Graduate,Southeast,City,STEM,0.0,,,,0.747021042569041,1
420246,Sonoran University of Health Sciences,Private nonprofit,Graduate,Southwest,City,STEM,0.0,,,,0.746249974725925,1
491747,UR Beauty & Barber Academy,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.6154,0.4,0.7461343501650444,1
154536,Wartburg Theological Seminary,Private nonprofit,Graduate,Plains,City,STEM,0.0,,,,0.7457864520328743,1
135179,Lake Technical College,Public,Certificates,Southeast,Suburb,Health,0.0,14597.0,0.6825,0.2766,0.7442841722604883,1
198118,Caldwell Community College and Technical Institute,Public,Associate's,Southeast,Suburb,Humanities,0.0,5517.0,0.3978,0.2914,0.7440389482687525,1
206516,Winebrenner Theological Seminary,Private nonprofit,Graduate,Great Lakes,Town,STEM,0.0,,,,0.7439866883816961,1
224758,Exposito School of Hair Design,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.0909,0.6889,0.7431485107788621,1
143853,Midwestern University-Downers Grove,Private nonprofit,Graduate,Great Lakes,City,STEM,0.0,,,,0.7424870837107735,1
149204,Educators of Beauty College of Cosmetology-Sterling,Private for-profit,Certificates,Great Lakes,Town,Trades & Applied,0.0,,0.6667,0.5667,0.7423098891306406,1
483346,Barber and Beauty Academy of Pennsylvania,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,0.0,,0.8333,0.1037,0.7421057093777683,1
230199,Evans Hairstyling College-Cedar City,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,0.0,,0.8491,0.3333,0.7420217731141643,1
106494,Arthur's Beauty College,Private for-profit,Certificates,Southeast,Suburb,Trades & Applied,0.0,,0.2222,0.7885,0.7416928498840263,1
441575,Metropolitan Learning Institute,Private nonprofit,Certificates,Mid East,City,Health,0.0,9526.0,0.8354,0.7821,0.7411992318110737,1
461740,Buckner Barber School,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.2727,0.6531,0.7411083827196652,1
491677,Lehigh Valley Barber School,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.7333,0.5556,0.7408018703611425,1
497046,Madera Community College,Public,Associate's,Far West,Rural,Humanities,1.4000000000000001,-489.0,0.3316,0.1806,0.7406327561327561,1
366571,Mercy-St Luke's School of Radiologic Technology,Private nonprofit,Certificates,Plains,City,Health,0.0,,,0.2727,0.7397210461365482,1
143552,Capri Beauty College,Private for-profit,Certificates,Great Lakes,Suburb,Trades & Applied,0.0,,0.8571,0.5781,0.7391280813413167,1
482200,Cosmetology Academy of Texarkana,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.6119,0.6981,0.7387613550963716,1
223056,Baldwin Beauty School-South Austin,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.3182,0.5309,0.7385174471518249,1
417983,Cattaraugus Allegany BOCES-Practical Nursing Program,Public,Certificates,Mid East,Rural,Health,1.0999999999999999,,,0.8276,0.7383492657103405,1
48092101,Designer Barber & Stylist School -,Private for-profit,Not classified,Southeast,Other/Unknown,STEM,1.7999999999999998,,,,0.7381202012619442,1
480161,Ideal Beauty Academy,Private for-profit,Certificates,Southeast,Suburb,Trades & Applied,0.0,,0.6875,0.5806,0.7377676403600265,1
488253,Focus Personal Training Institute,Private for-profit,Certificates,Mid East,City,STEM,0.0,,0.875,0.225,0.7375492842109423,1
148256,Rend Lake College,Public,Certificates,Great Lakes,Rural,Trades & Applied,0.0,7309.0,0.6037,0.3099,0.7374394761525196,1
169813,Creative Hair School of Cosmetology,Private for-profit,Certificates,Great Lakes,Suburb,Trades & Applied,0.0,,0.3333,0.4565,0.7364919107698523,1
204990,Payne Theological Seminary,Private nonprofit,Graduate,Great Lakes,Rural,STEM,0.0,,,,0.7364344908396252,1
461722,Lindsey Institute of Cosmetology,Private for-profit,Certificates,Southeast,City,Trades & Applied,1.3,,0.8125,0.2644,0.7360525248871829,1
488651,Glitz School of Cosmetology,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.5814,0.6085,0.7357117998915667,1
365505,Waynesville Career Center,Public,Certificates,Plains,Town,Health,0.0,19044.0,0.6667,0.5769,0.7355480676952602,1
451529,Elite College of Cosmetology,Private for-profit,Certificates,Southeast,Town,Trades & Applied,0.0,,0.7241,0.9524,0.7354961664855175,1
490018,National Personal Training Institute-Tampa,Private for-profit,Certificates,Southeast,Suburb,STEM,0.0,,,0.34,0.7342489301155377,1
461254,Galaxy Medical College,Private for-profit,Certificates,Far West,City,Health,0.0,,0.9104,0.9286,0.733960692603944,1
496894,Branford Academy of Hair & Cosmetology-Bridgeport,Private for-profit,Certificates,New England,City,Trades & Applied,0.0,,,1.0,0.7329846545055029,1
167215,New England Law-Boston,Private nonprofit,Graduate,New England,City,STEM,0.0,,,,0.7319192061687967,1
461485,Shepherds Theological Seminary,Private nonprofit,Graduate,Southeast,City,STEM,0.0,,,,0.731657801856559,1
365240,Greene County Career Center,Public,Certificates,Great Lakes,Rural,STEM,1.6,10960.0,0.8824,0.2414,0.7314447751322751,1
133021,Chipola College,Public,Associate's,Southeast,Town,Humanities,0.0,832.0,,0.2689,0.7304387732150889,1
44098904,Texas Barber College - Branch Campus #5,Private for-profit,Not classified,Southwest,Other/Unknown,STEM,0.0,,,,0.7303290380128583,1
44098902,Texas Barber College - Branch Campus #2,Private for-profit,Not classified,Southwest,Other/Unknown,STEM,0.0,,,,0.7303290380128583,1
44098901,Texas Barber College - Branch Campus #1,Private for-profit,Not classified,Southwest,Other/Unknown,STEM,0.0,,,,0.7303290380128583,1
488280,National Personal Training Institute,Private for-profit,Certificates,Southeast,Suburb,STEM,0.0,,1.0,0.4405,0.7297976562695988,1
499635,EDP University of Puerto Rico-Caguas,Private nonprofit,Associate's,Outlying Areas,City,STEM,0.0,,,,0.729642619401358,1
198011,Bladen Community College,Public,Associate's,Southeast,Rural,Humanities,0.0,7858.0,0.3095,0.6708,0.7295895862597412,1
461120,Omega Graduate School,Private nonprofit,Graduate,Southeast,Rural,STEM,0.0,,,,0.7295856692917583,1
148885,University of Saint Mary of the Lake,Private nonprofit,Graduate,Great Lakes,Suburb,STEM,0.0,,,,0.7294425019566206,1
214023,ASPIRA City College,Private nonprofit,Certificates,Mid East,City,Health,0.0,15727.0,0.0,0.7273,0.7292129752465774,1
209205,Northwest College-Clackamas,Private for-profit,Certificates,Far West,Suburb,Trades & Applied,0.0,,0.4773,0.5946,0.7290739150330355,1
408163,Pinnacle Institute of Cosmetology,Private for-profit,Certificates,Southeast,City,Trades & Applied,1.0999999999999999,,0.4,0.3537,0.7289397923344534,1
147697,Northern Baptist Theological Seminary,Private nonprofit,Graduate,Great Lakes,Suburb,STEM,0.0,,,,0.7286290098931285,1
153241,Divine Word College,Private nonprofit,Bachelor's,Plains,Rural,Social Science & Public Service,0.0,,1.0,0.1176,0.7284766305727327,1
489247,American Beauty Academy-West Valley Campus,Private for-profit,Certificates,Rocky Mountains,Suburb,Trades & Applied,0.0,,0.6667,0.4416,0.727860519057539,1
417637,Southern Missouri Technical Institute,Public,Certificates,Plains,Town,Health,0.0,21721.0,0.8889,0.6495,0.7278308982683983,1
189501,Brooklyn Law School,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.727760269656978,1
433040,Monty Tech,Public,Certificates,New England,Suburb,Health,1.0,35312.0,0.7692,0.439,0.7276405738133604,1
225876,Jacksonville College-Main Campus,Private nonprofit,Associate's,Southwest,Town,Humanities,1.7000000000000002,11674.0,0.4202,0.2357,0.7273050936717604,1
457493,Paul Mitchell the School-Twin Falls,Private for-profit,Certificates,Rocky Mountains,City,Trades & Applied,0.0,,0.5686,0.6563,0.7272336892473935,1
