fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03571428571428571,0.9315996435745888
0.005158437730287398,0.03571428571428571,0.9127984274976376
0.005158437730287398,0.07142857142857142,0.9111323051017324
0.01400147383935151,0.07142857142857142,0.8830951664054449
0.01400147383935151,0.10714285714285714,0.8816877316489384
0.022844509948415623,0.10714285714285714,0.8615237104849174
0.022844509948415623,0.14285714285714285,0.8581925337500701
0.026529108327192335,0.14285714285714285,0.8529608993355796
0.026529108327192335,0.17857142857142858,0.8527227799147306
0.028739867354458364,0.17857142857142858,0.8509792370297402
0.028739867354458364,0.21428571428571427,0.8501908669102941
0.0397936624907885,0.21428571428571427,0.8208195879007282
0.0397936624907885,0.2857142857142857,0.8196885521885522
0.045689019896831246,0.2857142857142857,0.8094989421818982
0.045689019896831246,0.32142857142857145,0.8090098003848004
0.05821665438467207,0.32142857142857145,0.7867884927872384
0.05821665438467207,0.35714285714285715,0.7849612811773253
0.05969049373618276,0.35714285714285715,0.7788508926838105
0.05969049373618276,0.39285714285714285,0.7781626984126985
0.0759027266028003,0.39285714285714285,0.7593032474684018
0.0759027266028003,0.42857142857142855,0.7580979986197377
0.07811348563006633,0.42857142857142855,0.7532826426793818
0.07811348563006633,0.4642857142857143,0.753173967630237
0.0847457627118644,0.4642857142857143,0.741233447079974
0.0847457627118644,0.5,0.7403207671957671
0.09579955784819455,0.5,0.725259965796895
0.09579955784819455,0.5357142857142857,0.7249778184778184
0.09727339719970524,0.5357142857142857,0.7205496660108728
0.09727339719970524,0.6071428571428571,0.7194025374059138
0.105379513633014,0.6071428571428571,0.7071788954553981
0.105379513633014,0.6428571428571429,0.706862302758094
0.10685335298452468,0.6428571428571429,0.7049114657558929
0.10685335298452468,0.6785714285714286,0.7046830249023233
0.11127487103905674,0.6785714285714286,0.6924428626834813
0.11127487103905674,0.7142857142857143,0.6880630043737236
0.13338246131171702,0.7142857142857143,0.654180513720668
0.13338246131171702,0.75,0.6515709982025771
0.13559322033898305,0.75,0.6510473489832943
0.13559322033898305,0.7857142857142857,0.6504634502923977
0.1451731761238025,0.7857142857142857,0.6362931408952687
0.1451731761238025,0.8214285714285714,0.6362464083332601
0.15401621223286663,0.8214285714285714,0.6167078279907228
0.15401621223286663,0.8571428571428571,0.6162106518115645
0.156963890935888,0.8571428571428571,0.6085946507482886
0.156963890935888,0.8928571428571429,0.6066579741208225
0.1643330876934414,0.8928571428571429,0.5880687074121604
0.1643330876934414,0.9285714285714286,0.5868869047619046
0.24613117170228446,0.9285714285714286,0.47746287944987276
0.24760501105379515,0.9285714285714286,0.47732046619340224
0.24981577008106118,0.9285714285714286,0.4749029803329339
0.2527634487840825,0.9285714285714286,0.4748645482288637
0.2748710390567428,0.9285714285714286,0.4484313081932433
0.2748710390567428,0.9642857142857143,0.44681504390733606
0.3367722918201916,0.9642857142857143,0.389735731650886
0.3367722918201916,1.0,0.3884123212619307
0.33824613117170227,1.0,0.38694921122000225
0.33971997052321296,1.0,0.38552264258548735
0.35298452468680913,1.0,0.3746461030441544
0.35519528371407516,1.0,0.374573797690177
0.5600589535740604,1.0,0.231048393776464
0.5622697126013264,1.0,0.23074455724490203
0.5747973470891673,1.0,0.22225758636788054
0.576271186440678,1.0,0.2222050602905866
0.604274134119381,1.0,0.1962925154366746
0.6079587324981577,1.0,0.19597927048823596
0.6551215917464996,1.0,0.16830834039780118
0.6565954310980103,1.0,0.16789356489216814
0.6632277081798084,1.0,0.164265873015873
0.6676492262343404,1.0,0.1637625830768245
0.7170228445099485,1.0,0.1261858660130719
0.7184966838614592,1.0,0.1257890454054247
0.7288135593220338,1.0,0.11764155863293795
0.7302873986735445,1.0,0.11727981998172564
0.737656595431098,1.0,0.11116071428571431
0.7391304347826086,1.0,0.10915830088716728
0.7737656595431098,1.0,0.08017486371653039
0.7752394988946205,1.0,0.08
0.7811348563006633,1.0,0.076917062368968
0.7833456153279292,1.0,0.07666666666666666
0.7855563743551953,1.0,0.07523809523809524
0.787030213706706,1.0,0.075
0.7966101694915254,1.0,0.07008771929824562
0.7980840088430361,1.0,0.06903902651928968
0.8098747236551216,1.0,0.061852518582781735
0.8120854826823877,1.0,0.06166666666666667
0.8246131171702284,1.0,0.056904761904761895
0.8260869565217391,1.0,0.056666666666666664
0.8341930729550479,1.0,0.053441176470588235
0.8356669123065585,1.0,0.05333333333333334
0.8371407516580692,1.0,0.051904761904761905
0.8386145910095799,1.0,0.051666666666666666
0.840825350036846,1.0,0.05051701421309265
0.8422991893883567,1.0,0.05
0.8526160648489315,1.0,0.045302287581699345
0.8555637435519529,1.0,0.045
0.8592483419307295,1.0,0.043725308641975304
0.8607221812822402,1.0,0.043333333333333335
0.8636698599852616,1.0,0.041851851851851855
0.8651436993367723,1.0,0.041666666666666664
0.8680913780397936,1.0,0.040158730158730165
0.8695652173913043,1.0,0.04
0.8717759764185704,1.0,0.03841666666666667
0.8732498157700811,1.0,0.03833333333333333
0.8776713338246132,1.0,0.03671296296296296
0.8791451731761238,1.0,0.03666666666666667
0.8835666912306559,1.0,0.033434343434343435
0.8857774502579219,1.0,0.03333333333333333
0.8894620486366986,1.0,0.032
0.8909358879882093,1.0,0.03166666666666667
0.89240972733972,1.0,0.03052248677248677
0.894620486366986,1.0,0.03
0.899042004421518,1.0,0.02851851851851852
0.9049373618275608,1.0,0.028333333333333332
0.9115696389093588,1.0,0.026754385964912284
0.9137803979366249,1.0,0.02666666666666667
0.9196757553426677,1.0,0.02520448179271709
0.924834193072955,1.0,0.025
