control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Private for-profit,Certificates,Trades & Applied,New England,City,10,0.24,0.44706999999999997,0.7363111111111111,25552.0
Private for-profit,Certificates,Trades & Applied,New England,Suburb,36,0.2361111111111111,0.4419166666666667,0.7535885714285714,26012.0
Public,Certificates,Health,Plains,Town,14,0.23571428571428574,0.4832571428571429,0.6492142857142857,12276.0
Public,Certificates,Trades & Applied,Southeast,City,18,0.2277777777777778,0.36244444444444446,0.46116666666666667,6200.611111111111
Private for-profit,Certificates,Trades & Applied,Mid East,City,49,0.22244897959183674,0.48505714285714285,0.681044680851064,23969.5
Private for-profit,Certificates,Trades & Applied,Plains,Suburb,12,0.21666666666666665,0.5027499999999999,0.6938583333333334,
Public,Certificates,Health,Mid East,Suburb,15,0.21333333333333335,0.5363533333333333,0.7999071428571429,20665.071428571428
Public,Associate's,Humanities,Far West,Town,10,0.21000000000000002,0.27637,0.3012875,8870.7
Public,Certificates,Health,Plains,Rural,7,0.2,0.27985714285714286,0.5995714285714285,10034.142857142857
Private nonprofit,Associate's,Health,Southeast,City,11,0.19999999999999998,0.608909090909091,0.587,21118.18181818182
Public,Certificates,Health,Mid East,Rural,18,0.18333333333333332,0.5895333333333332,0.6846375,16894.466666666667
Private for-profit,Certificates,Health,Mid East,City,23,0.1826086956521739,0.5973913043478261,0.6118047619047619,38743.75
Private for-profit,Associate's,Health,Southeast,Suburb,11,0.18181818181818182,0.6166909090909091,0.6796571428571428,37793.75
Private nonprofit,Bachelor's,STEM,New England,Rural,5,0.18,0.36254,0.51918,25943.6
Private for-profit,Certificates,Trades & Applied,Far West,City,90,0.17777777777777778,0.5148088888888889,0.7046127906976744,31427.666666666668
Private for-profit,Not classified,STEM,Southwest,Other/Unknown,12,0.17500000000000002,,,
Private nonprofit,Bachelor's,STEM,Mid East,City,36,0.175,0.2581833333333334,0.7618314285714286,28745.685714285715
Private for-profit,Bachelor's,Business,Southeast,City,11,0.17272727272727273,0.4453454545454545,0.5944333333333334,24281.0
Private for-profit,Certificates,Trades & Applied,Southeast,City,145,0.17103448275862068,0.5855489655172414,0.6355405594405594,27930.166666666668
Private for-profit,Certificates,Trades & Applied,Great Lakes,City,65,0.15692307692307694,0.5318046153846154,0.6809796610169491,32835.0
Private nonprofit,Not classified,STEM,Great Lakes,Other/Unknown,23,0.1391304347826087,,,
Private nonprofit,Bachelor's,Social Science & Public Service,Great Lakes,City,8,0.1375,0.3993125,0.5414571428571429,17637.285714285714
Public,Associate's,Humanities,Mid East,City,16,0.1375,0.4043375,0.26083333333333336,7504.9375
Public,Certificates,Trades & Applied,Southeast,Town,11,0.1272727272727273,0.40497272727272726,0.41259090909090906,7315.090909090909
Private for-profit,Certificates,Trades & Applied,Rocky Mountains,City,31,0.12258064516129032,0.48930322580645164,0.7277322580645161,26326.0
Private nonprofit,Graduate,STEM,Southeast,City,18,0.1222222222222222,,,
Public,Associate's,Humanities,Southeast,Town,22,0.11363636363636363,0.3190818181818182,0.36654,7248.272727272727
Private nonprofit,Certificates,Health,Southeast,City,9,0.1111111111111111,0.6436222222222222,0.49350000000000005,25440.666666666668
Private for-profit,Certificates,Health,Southeast,City,67,0.10597014925373134,0.6937029850746268,0.6028754098360656,34625.8
Private nonprofit,Bachelor's,Health,Great Lakes,Town,5,0.1,0.35876,0.4959,18475.0
Private nonprofit,Associate's,Health,Southwest,City,1,0.1,0.4795,,25491.0
Public,Certificates,Health,Great Lakes,Rural,19,0.09473684210526316,0.3959052631578947,0.6379,12452.466666666667
Private for-profit,Certificates,Trades & Applied,Southwest,City,103,0.0941747572815534,0.5783582524271845,0.6378084210526316,27317.0
