control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Public,Certificates,Humanities,Far West,Rural,1,0.0,0.1809,0.4421,12898.0
Public,Certificates,Humanities,Far West,Suburb,6,0.0,0.25265,0.3487,4615.833333333333
Public,Certificates,Humanities,Far West,Town,2,0.0,0.3634,0.34665,3512.5
Public,Certificates,Humanities,Great Lakes,City,10,0.0,0.28026999999999996,0.3234888888888889,5405.7
Public,Certificates,Humanities,Great Lakes,Rural,6,0.0,0.2725,0.4414833333333334,7270.5
Public,Certificates,Humanities,Great Lakes,Town,4,0.0,0.23555,0.49472499999999997,6869.75
Public,Certificates,Humanities,Plains,Town,3,0.0,0.2791333333333333,0.4386666666666667,7892.333333333333
Public,Certificates,Humanities,Rocky Mountains,City,2,0.0,0.23405,0.3569,13373.0
Public,Certificates,Humanities,Rocky Mountains,Suburb,1,0.0,0.1649,,10854.0
Public,Certificates,Humanities,Rocky Mountains,Town,1,0.0,0.3734,0.5357,13224.0
Public,Certificates,Humanities,Southeast,City,12,0.0,0.4003583333333333,0.28722,6146.75
Public,Certificates,Humanities,Southeast,Suburb,4,0.0,0.3798,0.3498,8262.25
Public,Certificates,Humanities,Southeast,Town,11,0.0,0.36378181818181815,0.45348,6152.545454545455
Public,Certificates,Health,Rocky Mountains,Rural,1,0.0,0.212,,7161.0
Public,Certificates,Health,Rocky Mountains,City,1,0.0,0.2833,,11063.0
Public,Certificates,Health,Plains,Suburb,3,0.0,0.4110333333333333,0.3290666666666667,14318.666666666666
Public,Certificates,Business,Southeast,City,2,0.0,0.5099,0.3413,8301.5
Public,Bachelor's,Social Science & Public Service,Southeast,City,4,0.0,0.441925,0.414375,14296.25
Public,Bachelor's,Social Science & Public Service,Southeast,Rural,1,0.0,0.5401,0.3804,13832.0
Public,Bachelor's,Social Science & Public Service,Southeast,Suburb,1,0.0,0.2857,0.5602,10319.0
Public,Bachelor's,Social Science & Public Service,Southeast,Town,3,0.0,0.44480000000000003,0.4822333333333333,10356.0
Public,Bachelor's,Social Science & Public Service,Southwest,City,4,0.0,0.5236,0.432325,8928.25
Public,Bachelor's,Social Science & Public Service,Southwest,Town,3,0.0,0.3903666666666667,0.43473333333333336,11902.333333333334
Public,Bachelor's,Trades & Applied,Rocky Mountains,Town,1,0.0,0.297,0.4233,14164.0
Public,Certificates,Business,Far West,Rural,2,0.0,0.1911,0.291,6478.5
Public,Certificates,Business,Great Lakes,City,2,0.0,0.37270000000000003,,9004.0
Public,Certificates,Business,Southeast,Town,1,0.0,0.301,0.5362,4928.0
Public,Certificates,Health,Plains,City,5,0.0,0.32067999999999997,0.56792,16230.4
Public,Certificates,Business,Southwest,City,2,0.0,0.19435,0.1881,8141.5
Public,Certificates,Education,Far West,City,1,0.0,0.1365,,8351.0
Public,Certificates,Health,Far West,Rural,1,0.0,0.6695,0.8451,11857.0
Public,Certificates,Health,Far West,Suburb,1,0.0,0.6283,1.0,30407.0
Public,Certificates,Health,Far West,Town,1,0.0,0.203,,7523.0
Public,Certificates,Health,Great Lakes,City,16,0.0,0.3694375,0.5067142857142858,10433.266666666666
Public,Certificates,Health,Great Lakes,Suburb,13,0.0,0.2821692307692308,0.6534846153846154,11406.777777777777
Public,Certificates,Health,Great Lakes,Town,7,0.0,0.35968571428571433,0.6975857142857143,17794.0
Public,Certificates,Health,Mid East,City,3,0.0,0.5910666666666666,0.8718,18121.666666666668
Public,Certificates,Humanities,Southwest,City,8,0.0,0.230525,0.22203333333333333,8551.625
Public,Certificates,Humanities,Southwest,Rural,6,0.0,0.2523666666666667,0.26374,8339.166666666666
Public,Certificates,Humanities,Southwest,Suburb,2,0.0,0.2465,0.2457,12184.5
Public,Graduate,STEM,Southeast,City,1,0.0,,,
Public,Certificates,Trades & Applied,Southeast,Suburb,5,0.0,0.35724,0.44939999999999997,8300.0
Public,Certificates,Trades & Applied,Southwest,City,3,0.0,0.15083333333333335,0.4455,5685.333333333333
Public,Certificates,Trades & Applied,Southwest,Rural,1,0.0,0.2093,0.6061,8373.0
Public,Graduate,STEM,Far West,City,2,0.0,,,
Public,Graduate,STEM,Great Lakes,Suburb,1,0.0,,,
Public,Graduate,STEM,Mid East,City,2,0.0,,,
Public,Graduate,STEM,Mid East,Suburb,1,0.0,,,
Public,Graduate,STEM,New England,City,1,0.0,,,
Public,Graduate,STEM,New England,Town,1,0.0,,,
Public,Graduate,STEM,Southeast,Town,1,0.0,,,
Public,Certificates,Trades & Applied,Rocky Mountains,Suburb,1,0.0,0.1931,,9356.0
Public,Graduate,STEM,Southwest,City,3,0.0,,,
Public,Not classified,STEM,Far West,Other/Unknown,10,0.0,,,
Public,Not classified,STEM,Great Lakes,Other/Unknown,31,0.0,,,
Public,Not classified,STEM,Mid East,Other/Unknown,11,0.0,,,
Public,Not classified,STEM,New England,Other/Unknown,1,0.0,,,
Public,Not classified,STEM,Outlying Areas,Other/Unknown,1,0.0,,,
Public,Not classified,STEM,Plains,Other/Unknown,15,0.0,,,
Public,Not classified,STEM,Rocky Mountains,Other/Unknown,3,0.0,,,
Public,Not classified,STEM,Southeast,Other/Unknown,26,0.0,,,
Public,Certificates,Trades & Applied,Rocky Mountains,Town,2,0.0,0.28315,0.2901,11690.5
Public,Certificates,Trades & Applied,Rocky Mountains,Rural,1,0.0,0.2703,0.9623,3790.0
Public,Certificates,Humanities,Southwest,Town,3,0.0,0.2836666666666667,0.28763333333333335,4974.666666666667
Public,Certificates,Trades & Applied,Far West,Rural,1,0.0,0.0602,0.8586,12071.0
Public,Certificates,STEM,Far West,Town,1,0.0,0.3335,0.3675,8084.0
Public,Certificates,STEM,Great Lakes,City,1,0.0,0.3007,,7113.0
Public,Certificates,STEM,Plains,Town,1,0.0,0.229,0.5727,8021.0
Public,Certificates,STEM,Southeast,Rural,1,0.0,0.3473,0.3114,9774.0
Public,Certificates,STEM,Southeast,Town,1,0.0,0.2975,0.3909,9096.0
Public,Certificates,STEM,Southwest,Suburb,1,0.0,0.1763,,3022.0
Public,Certificates,Social Science & Public Service,Far West,City,1,0.0,0.171,0.3956,7272.0
Public,Certificates,Social Science & Public Service,Far West,Suburb,1,0.0,0.2321,0.3302,6522.0
Public,Certificates,Trades & Applied,Far West,City,2,0.0,0.23065000000000002,0.2702,9057.5
Public,Certificates,Trades & Applied,Far West,Suburb,1,0.0,0.1197,,5886.0
Public,Certificates,Trades & Applied,Rocky Mountains,City,2,0.0,0.13824999999999998,0.5542,5574.5
Public,Certificates,Trades & Applied,Great Lakes,City,3,0.0,0.4527333333333334,0.37926666666666664,6917.666666666667
Public,Certificates,Trades & Applied,Great Lakes,Suburb,5,0.0,0.33726,0.69058,13559.0
Public,Certificates,Trades & Applied,Mid East,Rural,3,0.0,0.6487666666666666,0.8482,13972.333333333334
Public,Certificates,Trades & Applied,New England,Rural,1,0.0,0.4218,0.4342,3994.0
Public,Certificates,Trades & Applied,New England,Suburb,1,0.0,0.2921,0.6364,11768.0
Public,Certificates,Trades & Applied,New England,Town,1,0.0,0.3556,0.6,16767.0
Public,Certificates,Trades & Applied,Plains,City,4,0.0,0.245275,0.44,10626.25
Public,Certificates,Trades & Applied,Plains,Suburb,1,0.0,0.2642,0.4425,10925.0
Public,Certificates,Trades & Applied,Plains,Town,3,0.0,0.22043333333333334,0.5521,11638.0
Public,Bachelor's,Social Science & Public Service,Rocky Mountains,City,1,0.0,0.2619,0.5134,18457.0
Public,Bachelor's,Social Science & Public Service,Outlying Areas,Suburb,1,0.0,0.7568,0.4861,9148.0
Public,Bachelor's,Education,New England,Rural,1,0.0,0.3248,0.5275,14873.0
Public,Bachelor's,Social Science & Public Service,New England,Suburb,1,0.0,0.3031,0.5461,17970.0
Public,Bachelor's,Health,Southeast,Rural,2,0.0,0.3539,0.51675,14873.0
Public,Bachelor's,Health,Southeast,Suburb,3,0.0,0.4682,0.42976666666666663,12906.666666666666
Public,Bachelor's,Health,Southeast,Town,6,0.0,0.36413333333333336,0.4566666666666667,12968.333333333334
Public,Bachelor's,Health,Southwest,City,11,0.0,0.3234090909090909,0.47195000000000004,12999.0
Public,Bachelor's,Health,Southwest,Rural,1,0.0,0.4356,0.2613,7557.0
Public,Bachelor's,Health,Southwest,Town,1,0.0,0.3846,0.3471,14542.0
Public,Bachelor's,Humanities,Far West,City,1,0.0,0.612,0.4931,5825.0
Public,Bachelor's,Humanities,Far West,Suburb,2,0.0,0.3271,0.4387,19527.5
Public,Bachelor's,Humanities,Great Lakes,City,2,0.0,0.28075,0.5818000000000001,14388.0
Private nonprofit,Graduate,STEM,Great Lakes,Town,2,0.0,,,
Public,Bachelor's,Humanities,Great Lakes,Suburb,2,0.0,0.32030000000000003,0.275,10801.5
Public,Bachelor's,Humanities,Great Lakes,Town,1,0.0,0.3087,0.4517,14093.0
Public,Bachelor's,Humanities,Mid East,Suburb,1,0.0,0.3563,0.6156,19067.0
Public,Bachelor's,Humanities,Mid East,Town,1,0.0,0.3745,0.5348,15644.0
Public,Bachelor's,Humanities,New England,City,1,0.0,0.2761,0.6919,23764.0
Public,Bachelor's,Humanities,New England,Rural,1,0.0,0.2559,0.3766,10028.0
Public,Bachelor's,Humanities,New England,Suburb,1,0.0,0.3771,,15663.0
Public,Bachelor's,Humanities,New England,Town,1,0.0,0.3196,0.2328,11353.0
Public,Bachelor's,Humanities,Outlying Areas,City,1,0.0,0.6598,0.5714,5244.0
Public,Bachelor's,Humanities,Plains,Town,2,0.0,0.22749999999999998,0.55995,16791.0
Public,Bachelor's,Humanities,Rocky Mountains,City,1,0.0,0.2337,0.4074,8463.0
Public,Bachelor's,Health,Southeast,City,16,0.0,0.33851875,0.4762363636363636,13313.727272727272
Public,Bachelor's,Health,Rocky Mountains,City,6,0.0,0.25085,0.4209833333333333,15443.5
Public,Bachelor's,Health,Plains,Town,2,0.0,0.2074,0.6115999999999999,18651.5
Public,Bachelor's,Health,Great Lakes,City,6,0.0,0.29986666666666667,0.47362000000000004,10617.8
Public,Bachelor's,Education,Plains,City,1,0.0,0.238,0.6894,14609.0
Public,Bachelor's,Education,Plains,Rural,1,0.0,0.2442,0.4032,14454.0
Public,Bachelor's,Education,Plains,Town,4,0.0,0.221725,0.5055000000000001,14795.75
Public,Bachelor's,Education,Rocky Mountains,Town,1,0.0,0.3539,0.4945,16669.0
Public,Bachelor's,Education,Southeast,Town,1,0.0,0.4314,0.4686,13778.0
Public,Bachelor's,Education,Southwest,Town,1,0.0,0.4636,0.2559,14141.0
Public,Bachelor's,Health,Far West,City,2,0.0,0.2358,0.2894,13780.0
Public,Bachelor's,Health,Far West,Rural,1,0.0,0.2207,0.3103,13208.0
Public,Bachelor's,Health,Far West,Town,1,0.0,0.1922,0.5908,16391.0
Public,Bachelor's,Health,Great Lakes,Suburb,6,0.0,0.3105,0.4975833333333333,11486.0
Public,Bachelor's,Health,Plains,City,6,0.0,0.2924166666666667,0.47086000000000006,12527.2
Public,Bachelor's,Health,Great Lakes,Town,3,0.0,0.21973333333333334,0.4237333333333333,13924.333333333334
Public,Bachelor's,Health,Mid East,City,7,0.0,0.33784285714285717,0.4077,9848.0
Public,Bachelor's,Health,Mid East,Rural,3,0.0,0.3586666666666667,0.35533333333333333,18943.333333333332
Public,Bachelor's,Health,Mid East,Suburb,2,0.0,0.46125,0.3281,18913.0
Public,Bachelor's,Health,Mid East,Town,5,0.0,0.38546,0.4554,16666.6
Public,Bachelor's,Health,New England,City,3,0.0,0.30816666666666664,0.49890000000000007,15781.333333333334
Public,Bachelor's,Health,New England,Rural,2,0.0,0.22690000000000002,0.44389999999999996,15865.0
Public,Bachelor's,Health,New England,Suburb,3,0.0,0.3593,0.513,14953.666666666666
Public,Bachelor's,Health,Outlying Areas,City,1,0.0,0.6629,,
Public,Bachelor's,Humanities,Rocky Mountains,Town,1,0.0,0.3499,0.3165,14173.0
Public,Bachelor's,Humanities,Southeast,City,8,0.0,0.391575,0.47240000000000004,11668.625
Public,Bachelor's,Humanities,Southeast,Rural,4,0.0,0.3926,0.43755,10715.25
Public,Bachelor's,STEM,U.S. Service Schools,Suburb,1,0.0,0.073,0.8061,7506.0
Public,Bachelor's,STEM,Rocky Mountains,Town,5,0.0,0.23174,0.54524,15182.6
Public,Bachelor's,STEM,Southeast,City,50,0.0,0.3324795918367347,0.605304081632653,14980.510204081633
Public,Bachelor's,STEM,Southeast,Rural,4,0.0,0.4924,0.42700000000000005,12035.5
Public,Bachelor's,STEM,Southeast,Suburb,9,0.0,0.3003222222222222,0.7207888888888889,17580.555555555555
Public,Bachelor's,STEM,Southeast,Town,15,0.0,0.4295,0.47870666666666667,12824.4
Public,Bachelor's,STEM,Southwest,City,20,0.0,0.378415,0.5549684210526316,14821.052631578947
Public,Bachelor's,STEM,Southwest,Rural,1,0.0,0.6244,0.4322,14041.0
Public,Bachelor's,STEM,Southwest,Suburb,2,0.0,0.32030000000000003,0.6376,12080.0
Public,Bachelor's,STEM,Southwest,Town,9,0.0,0.3976222222222222,0.45524444444444445,14253.777777777777
Public,Bachelor's,Social Science & Public Service,Far West,City,1,0.0,0.6104,0.4685,3659.0
Public,Bachelor's,STEM,Rocky Mountains,City,9,0.0,0.23423333333333338,0.5428777777777778,17269.11111111111
Public,Bachelor's,Social Science & Public Service,Far West,Town,1,0.0,0.4,0.4483,18290.0
Public,Bachelor's,Social Science & Public Service,Great Lakes,City,1,0.0,0.5497,0.1695,10133.0
Public,Bachelor's,Social Science & Public Service,Great Lakes,Rural,2,0.0,0.09334999999999999,0.16855,5318.0
Public,Bachelor's,Social Science & Public Service,Great Lakes,Suburb,1,0.0,0.296,0.4412,13405.0
Public,Bachelor's,Social Science & Public Service,Great Lakes,Town,1,0.0,0.3378,0.4536,9082.0
Public,Bachelor's,Social Science & Public Service,Mid East,City,3,0.0,0.4496,0.5824,2746.0
Public,Bachelor's,Social Science & Public Service,Mid East,Suburb,3,0.0,0.48563333333333336,0.48566666666666664,12739.333333333334
Public,Bachelor's,Social Science & Public Service,Mid East,Town,1,0.0,0.3756,0.2069,21228.0
Public,Bachelor's,Social Science & Public Service,New England,City,1,0.0,0.3188,0.1429,14106.0
Public,Bachelor's,STEM,Rocky Mountains,Suburb,1,0.0,0.1333,0.7944,29240.0
Public,Bachelor's,STEM,Plains,Town,7,0.0,0.21698571428571428,0.5853714285714285,14716.714285714286
Public,Bachelor's,Humanities,Southeast,Town,6,0.0,0.36335,0.47031666666666666,15450.833333333334
Public,Bachelor's,STEM,Mid East,City,22,0.0,0.3983181818181818,0.52295,15964.318181818182
Public,Bachelor's,Humanities,Southwest,Rural,2,0.0,0.44405,0.21015,11840.5
Public,Bachelor's,Humanities,Southwest,Suburb,1,0.0,0.3546,0.375,18990.0
Public,Bachelor's,Humanities,Southwest,Town,4,0.0,0.4025,0.36072499999999996,7251.5
Public,Bachelor's,STEM,Far West,City,28,0.0,0.36158928571428567,0.6580642857142857,13037.607142857143
Public,Bachelor's,STEM,Far West,Rural,1,0.0,0.469,0.5345,9792.0
Public,Bachelor's,STEM,Far West,Suburb,10,0.0,0.38861,0.69563,12446.8
Public,Bachelor's,STEM,Far West,Town,5,0.0,0.35296000000000005,0.49391999999999997,13487.4
Public,Bachelor's,STEM,Great Lakes,Rural,1,0.0,0.3421,0.3982,10044.0
Public,Bachelor's,STEM,Great Lakes,Town,13,0.0,0.2559692307692308,0.5912923076923077,16070.076923076924
Public,Bachelor's,STEM,Mid East,Rural,5,0.0,0.34502,0.39454,16626.0
Public,Bachelor's,STEM,Plains,Suburb,1,0.0,0.1785,0.5687,12323.0
Public,Bachelor's,STEM,Mid East,Suburb,23,0.0,0.301795652173913,0.5547130434782609,18741.0
Public,Bachelor's,STEM,Mid East,Town,10,0.0,0.36557,0.52577,17585.2
Public,Bachelor's,STEM,New England,City,8,0.0,0.36057500000000003,0.6364875,16140.875
Public,Bachelor's,STEM,New England,Rural,1,0.0,0.2472,0.6141,21185.0
Public,Bachelor's,STEM,New England,Suburb,7,0.0,0.27464285714285713,0.6166428571428572,18825.14285714286
Public,Bachelor's,STEM,New England,Town,5,0.0,0.26844,0.6519199999999999,20899.6
Public,Bachelor's,STEM,Outlying Areas,City,5,0.0,0.74816,0.46421999999999997,9612.4
Public,Bachelor's,STEM,Outlying Areas,Suburb,3,0.0,0.6413666666666666,0.4756666666666667,10351.0
Public,Bachelor's,STEM,Plains,City,18,0.0,0.24186666666666667,0.6147,16823.38888888889
Public,Bachelor's,Humanities,Great Lakes,Rural,1,0.0,0.3117,0.181,12458.0
Private nonprofit,Certificates,Health,Mid East,Town,5,0.0,0.39172,0.5357000000000001,14902.666666666666
Private nonprofit,Graduate,STEM,Great Lakes,Suburb,9,0.0,,,
Private for-profit,Certificates,Trades & Applied,Mid East,Rural,1,0.0,0.6271,0.7419,15122.0
Private for-profit,Certificates,STEM,Plains,City,2,0.0,0.72065,0.48625,
Private for-profit,Certificates,STEM,Rocky Mountains,Town,1,0.0,0.3506,0.6333,
Private for-profit,Certificates,STEM,Southeast,City,5,0.0,0.42788000000000004,0.7406666666666667,
Private for-profit,Certificates,STEM,Southeast,Suburb,4,0.0,0.37535,0.85965,43615.0
Private for-profit,Certificates,STEM,Southeast,Town,1,0.0,0.4167,0.9231,
Private for-profit,Certificates,STEM,Southwest,City,8,0.0,0.5371166666666667,0.5865400000000001,18840.0
Private for-profit,Certificates,STEM,Southwest,Suburb,1,0.0,0.5043,0.9012,
Private for-profit,Certificates,Social Science & Public Service,Far West,City,1,0.0,0.5274,0.3333,25025.0
Private for-profit,Certificates,Social Science & Public Service,Southwest,City,1,0.0,0.4818,0.5333,
Private for-profit,Certificates,Trades & Applied,Mid East,Town,10,0.0,0.43354,0.71364,23764.0
Private for-profit,Certificates,STEM,New England,City,1,0.0,0.7624,0.7551,
Private for-profit,Certificates,Trades & Applied,New England,Rural,1,0.0,0.25,0.8929,
Private for-profit,Certificates,Trades & Applied,New England,Town,3,0.0,0.37233333333333335,0.7697666666666666,
Private for-profit,Certificates,Trades & Applied,Outlying Areas,City,8,0.0,0.878525,0.7410714285714286,16306.57142857143
Private for-profit,Certificates,Trades & Applied,Outlying Areas,Suburb,3,0.0,0.8725666666666667,0.7478000000000001,12023.0
Private for-profit,Certificates,Trades & Applied,Plains,City,48,0.0,0.49015416666666667,0.7085468085106382,33008.0
Private for-profit,Certificates,Trades & Applied,Southwest,Rural,2,0.0,0.5223,0.7065,
Private for-profit,Certificates,Trades & Applied,Southwest,Suburb,26,0.0,0.5704153846153847,0.712124,
Private for-profit,Graduate,STEM,Far West,City,5,0.0,,,
Private for-profit,Graduate,STEM,Far West,Rural,1,0.0,,,
Private for-profit,Certificates,STEM,New England,Rural,1,0.0,0.568,0.7019,
Private for-profit,Certificates,STEM,Mid East,Suburb,4,0.0,0.523475,0.7793333333333333,25406.0
Private for-profit,Graduate,STEM,Mid East,City,1,0.0,,,
Private for-profit,Certificates,Health,Rocky Mountains,Suburb,3,0.0,0.33216666666666667,0.7594666666666666,
Private for-profit,Certificates,Health,Far West,Town,1,0.0,0.7557,0.6429,
Private for-profit,Certificates,Health,Mid East,Rural,1,0.0,0.9495,0.5572,
Private for-profit,Certificates,Health,Mid East,Suburb,37,0.0,0.574,0.6660085714285715,30054.333333333332
Private for-profit,Certificates,Health,Mid East,Town,1,0.0,0.6977,0.5161,
Private for-profit,Certificates,Health,New England,City,5,0.0,0.4934,0.631625,29993.0
Private for-profit,Certificates,Health,New England,Suburb,3,0.0,0.514,0.5935333333333334,
Private for-profit,Certificates,Health,Outlying Areas,City,2,0.0,0.7995,,13321.0
Private for-profit,Certificates,Health,Plains,Rural,1,0.0,0.4902,1.0,
Private for-profit,Certificates,Health,Plains,Suburb,2,0.0,0.42264999999999997,0.6522,
Private for-profit,Certificates,Health,Southeast,Rural,1,0.0,0.5341,0.7692,
Private for-profit,Certificates,STEM,Mid East,City,2,0.0,0.2651,0.7283999999999999,
Private for-profit,Certificates,Health,Southwest,Suburb,4,0.0,0.72185,0.730375,31871.0
Private for-profit,Certificates,Humanities,Mid East,City,2,0.0,0.0084,0.8696,
Private for-profit,Certificates,Humanities,Southeast,City,3,0.0,0.24100000000000002,0.5556,29647.0
Private for-profit,Certificates,Humanities,Southwest,City,1,0.0,0.3312,,21244.0
Private for-profit,Certificates,STEM,Far West,City,6,0.0,0.6586333333333333,0.77968,40465.0
Private for-profit,Certificates,STEM,Far West,Suburb,2,0.0,0.14565,1.0,26286.0
Private for-profit,Certificates,STEM,Far West,Town,1,0.0,0.0,,
Private for-profit,Certificates,STEM,Great Lakes,City,4,0.0,0.5331750000000001,0.6723,
Private for-profit,Certificates,STEM,Great Lakes,Rural,1,0.0,0.1483,0.8971,
Private for-profit,Graduate,STEM,Far West,Suburb,3,0.0,,,
Private for-profit,Graduate,STEM,Outlying Areas,City,3,0.0,,,
Private for-profit,Certificates,Business,Southwest,City,2,0.0,0.6133500000000001,0.41300000000000003,20023.0
Private nonprofit,Associate's,Humanities,New England,Rural,2,0.0,0.18925,,43781.5
Private nonprofit,Associate's,Health,New England,Suburb,3,0.0,0.4318666666666666,,36906.0
Private nonprofit,Associate's,Health,Outlying Areas,City,1,0.0,0.5775,,4989.0
Private nonprofit,Associate's,Health,Outlying Areas,Suburb,6,0.0,0.6647166666666666,,6507.166666666667
Private nonprofit,Associate's,Health,Plains,City,4,0.0,0.4375,,20757.25
Private nonprofit,Associate's,Health,Plains,Town,1,0.0,0.6154,,
Private nonprofit,Associate's,Health,Southeast,Suburb,3,0.0,0.47986666666666666,0.52,24864.5
Private nonprofit,Associate's,Health,Southeast,Town,1,0.0,0.5826,,
Private nonprofit,Associate's,Humanities,Far West,City,2,0.0,0.5341,0.4225,30512.0
Private nonprofit,Associate's,Humanities,Mid East,City,2,0.0,0.39025,0.9268,30214.5
Private nonprofit,Associate's,Humanities,Plains,Rural,1,0.0,0.3025,,21458.0
Private nonprofit,Associate's,Health,Mid East,Town,1,0.0,0.4184,,
Private nonprofit,Associate's,Humanities,Southeast,City,1,0.0,0.8255,0.0667,12993.0
Private nonprofit,Associate's,Humanities,Southeast,Rural,1,0.0,0.6437,0.3944,26403.0
Private nonprofit,Associate's,Humanities,Southeast,Suburb,3,0.0,0.32236666666666663,0.9465,23148.0
Private nonprofit,Associate's,STEM,Great Lakes,Rural,1,0.0,0.3824,0.6667,24326.0
Private nonprofit,Associate's,STEM,Mid East,City,1,0.0,0.3714,,6349.0
Private nonprofit,Associate's,STEM,Mid East,Suburb,2,0.0,0.34099999999999997,0.7658,26123.0
Private nonprofit,Associate's,STEM,Outlying Areas,City,1,0.0,,,
Private nonprofit,Associate's,STEM,Southeast,City,2,0.0,0.4787,1.0,33319.0
Private nonprofit,Associate's,Social Science & Public Service,Great Lakes,City,1,0.0,0.5789,,25886.0
Private nonprofit,Associate's,Health,New England,City,3,0.0,0.3725333333333333,,24491.0
Private nonprofit,Associate's,Health,Mid East,Suburb,9,0.0,0.5441444444444445,0.54005,16480.571428571428
Private for-profit,Graduate,STEM,Plains,City,1,0.0,,,
Private for-profit,Not classified,STEM,Plains,Other/Unknown,9,0.0,,,
Private for-profit,Graduate,STEM,Plains,Suburb,1,0.0,,,
Private for-profit,Graduate,STEM,Rocky Mountains,City,3,0.0,,,
Private for-profit,Graduate,STEM,Rocky Mountains,Suburb,1,0.0,,,
Private for-profit,Graduate,STEM,Southeast,City,4,0.0,,,
Private for-profit,Graduate,STEM,Southeast,Suburb,1,0.0,,,
Private for-profit,Graduate,STEM,Southwest,Suburb,1,0.0,,,
Private for-profit,Not classified,STEM,Far West,Other/Unknown,13,0.0,,,
Private for-profit,Not classified,STEM,New England,Other/Unknown,11,0.0,,,
Private for-profit,Not classified,STEM,Outlying Areas,Other/Unknown,18,0.0,,,
Private for-profit,Not classified,STEM,Rocky Mountains,Other/Unknown,5,0.0,,,
Private nonprofit,Associate's,Health,Mid East,Rural,1,0.0,0.3018,,37208.0
Private nonprofit,Associate's,Business,Great Lakes,City,1,0.0,0.7822,0.0645,19558.0
Private nonprofit,Associate's,Business,Great Lakes,Rural,1,0.0,0.5066,,25172.0
Private nonprofit,Associate's,Business,Southeast,Rural,1,0.0,0.6235,,21934.0
Private nonprofit,Associate's,Education,Great Lakes,City,1,0.0,0.7338,,17082.0
Private nonprofit,Associate's,Health,Far West,City,2,0.0,0.48850000000000005,,24410.5
Private nonprofit,Associate's,Health,Great Lakes,City,1,0.0,0.4324,,22626.0
Private nonprofit,Associate's,Health,Great Lakes,Rural,1,0.0,0.3585,,29541.0
Private nonprofit,Associate's,Health,Great Lakes,Suburb,3,0.0,0.6799,,16593.333333333332
Private nonprofit,Associate's,Health,Mid East,City,11,0.0,0.42978181818181815,0.7666666666666666,23176.9
Private for-profit,Certificates,Education,Far West,City,1,0.0,0.0219,,
Private for-profit,Certificates,Business,Southeast,Suburb,1,0.0,0.7419,0.4286,20314.0
Private nonprofit,Associate's,Social Science & Public Service,Plains,Rural,1,0.0,0.451,,24674.0
Private for-profit,Associate's,Social Science & Public Service,Southwest,City,1,0.0,0.3968,,19691.0
Private for-profit,Associate's,STEM,Mid East,Suburb,1,0.0,0.7015,0.7692,30201.0
Private for-profit,Associate's,STEM,Plains,City,1,0.0,,,
Private for-profit,Associate's,STEM,Rocky Mountains,City,1,0.0,0.475,0.6471,25948.0
Private for-profit,Associate's,STEM,Rocky Mountains,Suburb,2,0.0,0.4067,0.6081,29807.0
Private for-profit,Associate's,STEM,Southeast,City,2,0.0,0.50275,,64662.0
Private for-profit,Associate's,STEM,Southeast,Suburb,4,0.0,0.5229666666666667,0.5556,42055.0
Private for-profit,Associate's,STEM,Southeast,Town,1,0.0,0.7308,,42163.0
Private for-profit,Associate's,STEM,Southwest,City,3,0.0,0.5371,0.6,19784.0
Private for-profit,Associate's,Social Science & Public Service,Great Lakes,Suburb,1,0.0,0.3548,0.0,43083.0
Private for-profit,Associate's,Trades & Applied,Far West,City,2,0.0,0.5238,0.5511999999999999,
Private for-profit,Associate's,STEM,Great Lakes,Suburb,1,0.0,0.4603,0.4444,21635.0
Private for-profit,Associate's,Trades & Applied,Far West,Suburb,1,0.0,0.59,0.581,
Private for-profit,Associate's,Trades & Applied,Great Lakes,Suburb,1,0.0,0.3812,0.6923,30150.0
Private for-profit,Associate's,Trades & Applied,Mid East,City,3,0.0,0.4799333333333333,0.6681,30521.333333333332
Private for-profit,Associate's,Trades & Applied,Mid East,Rural,2,0.0,0.5072,0.71795,27179.0
Private for-profit,Associate's,Trades & Applied,Mid East,Suburb,2,0.0,0.46295,0.7636499999999999,27544.0
Private for-profit,Associate's,Trades & Applied,New England,Suburb,1,0.0,0.4661,0.5,
Private for-profit,Associate's,Trades & Applied,Rocky Mountains,City,1,0.0,0.0951,0.6875,33357.0
Private for-profit,Associate's,Trades & Applied,Rocky Mountains,Suburb,1,0.0,0.2821,0.8182,
Private for-profit,Associate's,Trades & Applied,Southeast,City,1,0.0,0.4619,0.5601,
Private for-profit,Associate's,STEM,Mid East,City,1,0.0,0.5442,0.6264,23551.0
Private for-profit,Associate's,STEM,Great Lakes,City,1,0.0,0.503,0.6915,22651.0
Private for-profit,Associate's,Trades & Applied,Southwest,City,6,0.0,0.5306000000000001,0.55702,34021.5
Private for-profit,Associate's,Health,Plains,Rural,1,0.0,0.597,0.25,29729.0
Private for-profit,Associate's,Business,Plains,City,1,0.0,0.7614,,27565.0
Private for-profit,Associate's,Business,Southeast,City,1,0.0,0.833,,22756.0
Private for-profit,Associate's,Health,Far West,Suburb,3,0.0,0.6011333333333334,0.7273,
Private for-profit,Associate's,Health,Great Lakes,City,5,0.0,0.528,0.51555,36020.75
Private for-profit,Associate's,Health,Great Lakes,Town,1,0.0,0.7584,0.6667,22939.0
