precision,recall,threshold
0.020216606498194945,1.0,2.131827481918667e-41
0.02023121387283237,1.0,5.54130312516229e-18
0.02024584237165582,1.0,1.8617791634688595e-17
0.020260492040520984,1.0,2.842225628108466e-15
0.020275162925416364,1.0,8.353361504622093e-15
0.020289855072463767,1.0,8.185137041882639e-14
0.02030456852791878,1.0,9.401440562866694e-14
0.020319303338171262,1.0,2.693300757246642e-13
0.020334059549745823,1.0,2.7245424308508175e-12
0.020348837209302327,1.0,3.57231247965726e-12
0.020363636363636365,1.0,6.067192847106105e-12
0.020378457059679767,1.0,1.0498028513959303e-11
0.02039329934450109,1.0,1.1593255974485421e-11
0.02040816326530612,1.0,3.471238522858738e-11
0.020423048869438368,1.0,4.4040509151896456e-11
0.020437956204379562,1.0,5.95297045718596e-11
0.020452885317750184,1.0,6.456726642546922e-11
0.02046783625730994,1.0,8.39710658600415e-11
0.020482809070958303,1.0,1.0879659623119485e-10
0.020497803806734993,1.0,1.2034971611642577e-10
0.020512820512820513,1.0,1.588593710729247e-10
0.020527859237536656,1.0,3.197576451644483e-10
0.020542920029347028,1.0,3.588976728797406e-10
0.020558002936857563,1.0,5.04449199810613e-10
0.020573108008817047,1.0,5.15403378511089e-10
0.020588235294117647,1.0,1.132540190579609e-09
0.020603384841795438,1.0,1.1629757578837012e-09
0.020618556701030927,1.0,1.364587541935863e-09
0.020633750921149593,1.0,3.1983742397959964e-09
0.02064896755162242,1.0,6.916270480529306e-09
0.020664206642066422,1.0,7.414397218921525e-09
0.0206794682422452,1.0,7.447611237798744e-09
0.020694752402069475,1.0,2.62387933522262e-08
0.020710059171597635,1.0,3.437155565041579e-08
0.02072538860103627,1.0,4.705574791433664e-08
0.02074074074074074,1.0,2.458133901142743e-07
0.020756115641215715,1.0,2.4696568081234223e-07
0.020771513353115726,1.0,2.558554956720941e-07
0.020786933927245732,1.0,3.222868803108538e-07
0.020802377414561663,1.0,3.308950583367476e-07
0.020817843866171002,1.0,3.7350628076533023e-07
0.020833333333333332,1.0,4.954664395693807e-07
0.02084884586746091,1.0,6.329257534855315e-07
0.020864381520119227,1.0,7.02769581110911e-07
0.020879940343027592,1.0,8.00842286696815e-07
0.020895522388059702,1.0,1.1074457777373105e-06
0.020911127707244213,1.0,1.3964752059063884e-06
0.02092675635276532,1.0,1.4983280144225632e-06
0.020942408376963352,1.0,1.6258303399803007e-06
0.020958083832335328,1.0,2.042104345674863e-06
0.020973782771535582,1.0,2.1500900128911855e-06
0.020989505247376312,1.0,3.7516648168122655e-06
0.021005251312828207,1.0,4.5776019018464155e-06
0.021021021021021023,1.0,5.119162111841853e-06
0.021036814425244178,1.0,5.240660464011624e-06
0.021052631578947368,1.0,5.641539195063202e-06
0.021068472535741158,1.0,6.018323773005278e-06
0.02108433734939759,1.0,6.078241020652518e-06
0.02110022607385079,1.0,6.420164404627072e-06
0.021116138763197588,1.0,7.715383277572765e-06
0.021132075471698115,1.0,8.404853398925602e-06
0.021148036253776436,1.0,9.52284439251322e-06
0.021164021164021163,1.0,9.981929029242089e-06
0.02118003025718608,1.0,1.0583436768916253e-05
0.021196063588190765,1.0,1.2327484887517812e-05
0.021212121212121213,1.0,1.246193669475461e-05
0.02122820318423048,1.0,1.3143932980434191e-05
0.021244309559939303,1.0,1.467357646366346e-05
0.02126044039483675,1.0,1.5774180834395545e-05
0.02127659574468085,1.0,1.6398582359647804e-05
0.02129277566539924,1.0,1.7370070138708594e-05
0.0213089802130898,1.0,1.739067646641945e-05
0.021325209444021324,1.0,2.0961512403009378e-05
0.021341463414634148,1.0,2.154382579018151e-05
0.02135774218154081,1.0,2.2739696595670554e-05
0.021374045801526718,1.0,2.3016970488707668e-05
0.0213903743315508,1.0,2.325263195883563e-05
0.021406727828746176,1.0,2.34626913997669e-05
0.02142310635042081,1.0,2.4557163642469664e-05
0.021439509954058193,1.0,2.648055099248004e-05
0.021455938697318006,1.0,3.450970732992857e-05
0.02147239263803681,1.0,3.566361171080492e-05
0.021488871834228703,1.0,3.6086208093334685e-05
0.021505376344086023,1.0,3.881005716654709e-05
0.021521906225980016,1.0,4.074617491183195e-05
0.021538461538461538,1.0,4.192005665756067e-05
0.02155504234026174,1.0,4.293589426437887e-05
0.02157164869029276,1.0,4.586050758728756e-05
